,Distributor,Product Name,Sales
2498,Koss   ,Acycnafine Microvate,25957442.0
2536,Koss   ,Aprerase,25776630.0
1579,Gerlach LLC ,Ketamara Evogel,25421127.361
1457,Gerlach LLC ,Adalatamine,25326218.0
1578,Gerlach LLC ,Ionclotide,25137778.0
2627,Koss   ,Kiovax Tercorolac,25015856.0
1448,Gerlach LLC ,Abranatal Lysoprosate,24970227.0
2517,Koss   ,Alemtuvatol Megalinum,24905276.0
2704,Koss   ,Theopril,24861696.0
2591,Koss   ,Epzipitant,24692164.0
2810,Kozey-Emmerich ,Cyclovital,24626552.0
1512,Gerlach LLC ,Cephozumab Synmethate,24592896.0
2491,Koss   ,Abranatal Lysoprosate,24524172.0
1645,Gerlach LLC ,Spiroderall,24383673.0
1445,Gerlach LLC ,Abatatriptan,24363570.0
1660,Gerlach LLC ,Thalilamide,24325632.81377
1522,Gerlach LLC ,Cogxone Levanide,24243240.0
2898,Kozey-Emmerich ,Pentastrin,24182529.0
2565,Koss   ,Cogxone Levanide,24130050.0
2703,Koss   ,Thalilamide,24116610.0
1669,Gerlach LLC ,Travosoline Capolac,23979710.0
2738,Kozey-Emmerich ,Acycnafine Microvate,23855132.0
1676,Gerlach LLC ,Victomine,23837460.0
2688,Koss   ,Spiroderall,23829929.0
2825,Kozey-Emmerich ,Doxivorin,23676144.0
99,Bashirian-Kassulke  ,Symbitrim,23637600.0
2643,Koss   ,Menogine,23577050.0
2625,Koss   ,Kinerinex,23455044.0
2583,Koss   ,Docstryl Rivacin,23299959.0
1605,Gerlach LLC ,Neuropogen Empibax,23222925.0
1515,Gerlach LLC ,Choriotrisin,23084437.3419
2590,Koss   ,Eproline,22895340.0
1436,Erdman  ,Victomine,22861035.0
1501,Gerlach LLC ,Aspinavir Silovance,22849380.0
1477,Gerlach LLC ,Alimmethate Insudase,22730448.0
1586,Gerlach LLC ,Lactubucil,22719060.0
1572,Gerlach LLC ,Insozyme,22690510.0
2784,Kozey-Emmerich ,Aspinavir Silovance,22616604.0
2666,Koss   ,Propratecan,22581702.0
2646,Koss   ,Microroban Afatigomar,22551562.0
2683,Koss   ,Secrelazine Insonamic,22378724.0
1454,Gerlach LLC ,Acubulin,22329300.0
2701,Koss   ,Tetalamide,22258950.0
1666,Gerlach LLC ,Topitaine,22220143.0
1593,Gerlach LLC ,Lovephilus,22200972.0
2535,Koss   ,Antilamin Clinbital,22136432.0
2670,Koss   ,Quiniprosyn,21996350.0
1548,Gerlach LLC ,Epzipitant,21943490.0
1527,Gerlach LLC ,Cyclovital,21938500.202429
1470,Gerlach LLC ,Alarudin Azarolac,21861252.0
2492,Koss   ,Abtasol,21853936.0
1611,Gerlach LLC ,Panpion,21845402.0
2633,Koss   ,Liomulin,21796670.0
1506,Gerlach LLC ,Betanem,21786427.0
2594,Koss   ,Exotropin Empizine,21706035.0
2580,Koss   ,Diazemid Felcept,21699587.0
2540,Koss   ,Araxetine,21519900.0
2906,Kozey-Emmerich ,Propratecan,21457084.0
2621,Koss   ,Ionclotide,21365029.0
1455,Gerlach LLC ,Acycnafine Microvate,21298802.0
1661,Gerlach LLC ,Theopril,21221376.0
1497,Gerlach LLC ,Araxetine,21147084.3882
2714,Koss   ,Trazozaprine,21130260.0
1668,Gerlach LLC ,Travoloride,21019945.0
2719,Koss   ,Victomine,20941320.0
1483,Gerlach LLC ,Amavirase,20818276.0
1641,Gerlach LLC ,Sevoderm,20806266.0
2533,Koss   ,Angioparin Brimosumab,20696654.0
1502,Gerlach LLC ,Atomorelin,20644890.0
2694,Koss   ,Symbitrim,20580256.0
2631,Koss   ,Lansostral Acgestin,20482836.0
1597,Gerlach LLC ,Malavirine Alimdine,20482735.0
2525,Koss   ,Amamadin,20475221.0
1595,Gerlach LLC ,Magnemunex,20400601.0
2585,Koss   ,Doxivorin,20361876.0
2864,Kozey-Emmerich ,Kinenadryl,20291336.0
2724,Koss   ,Zonitonin,20084414.0
1401,Erdman  ,Sevoderm,20042490.0
1602,Gerlach LLC ,Methiclotide,20021012.0
1496,Gerlach LLC ,Aquamycin Lacoran,20013795.0
2624,Koss   ,Kinenadryl,20005124.0
2691,Koss   ,Sumanazole,19969221.0
2871,Kozey-Emmerich ,Lansostral Acgestin,19922298.0
2597,Koss   ,Fentalac,19813698.0
1576,Gerlach LLC ,Interzide,19787880.0
1594,Gerlach LLC ,Lovepion,19768416.0
2880,Kozey-Emmerich ,Malavirine Alimdine,19526286.0
2553,Koss   ,Ceftatana Serolamide,19514810.0
2501,Koss   ,Adideine,19467414.0
1655,Gerlach LLC ,Temasone Thiobucil,19459304.0
2494,Koss   ,Acelimus,19415396.0
2605,Koss   ,Halcifergen Nevazone,19403590.0
2500,Koss   ,Adalatamine,19399008.0
1624,Gerlach LLC ,Pulmodiol Adalaxime,19336963.46154
2630,Koss   ,Lansopril Acribax,19269672.0
2744,Kozey-Emmerich ,Adriafinil Ehtymara,19246090.0
1598,Gerlach LLC ,Malaxolol Aeroprosyn,19216058.0
1536,Gerlach LLC ,Diaxolol,19174725.0
1451,Gerlach LLC ,Acelimus,19134154.0
1493,Gerlach LLC ,Aprerase,19123566.0
2629,Koss   ,Lactubucil,19092060.0
1538,Gerlach LLC ,Diprolimus,19068818.0
2542,Koss   ,Arivac,19049499.0
1474,Gerlach LLC ,Alemtuvatol Megalinum,18992336.0
1627,Gerlach LLC ,Quiniprosyn,18879570.0
2545,Koss   ,Atomorelin,18827265.0
1582,Gerlach LLC ,Kinerinex,18793409.0
1528,Gerlach LLC ,Dantocept Ferurenone,18763840.0
2734,Kozey-Emmerich ,Acelimus,18704458.0
2713,Koss   ,Trazobalamin,18688050.0
1510,Gerlach LLC ,Ceftatana Serolamide,18633020.0
2778,Kozey-Emmerich ,Apronazol,18627952.0
1537,Gerlach LLC ,Diazemid Felcept,18606284.7652
2680,Koss   ,Rositroban,18488197.0
1667,Gerlach LLC ,Tracdomide,18347040.0
2687,Koss   ,Solasteride,18213000.0
1518,Gerlach LLC ,Claripenem,18202240.0
1330,Erdman  ,Imiformin Transmunex,18172400.0
1490,Gerlach LLC ,Angioparin Brimosumab,18121422.0
2558,Koss   ,Choriotrisin,18102330.0
1544,Gerlach LLC ,Effidomide Evofribrate,18073584.0
1644,Gerlach LLC ,Solasteride,18013840.0
2579,Koss   ,Diaxolol,18006570.0
2622,Koss   ,Ketamara Evogel,17921728.0
2951,Kozey-Emmerich ,Travoloride,17873665.0
2752,Kozey-Emmerich ,Aggretisol,17849536.0
2534,Koss   ,Antaparin Varizyme,17775450.0
1629,Gerlach LLC ,Ranediol,17646406.0
1456,Gerlach LLC ,Acycpex,17405280.0
69,Bashirian-Kassulke  ,Magnemunex,17397250.0
2532,Koss   ,Androporin,17377830.0
2637,Koss   ,Lovepion,17342176.0
1491,Gerlach LLC ,Antaparin Varizyme,17340939.0
2497,Koss   ,Acubulin,17337670.0
1588,Gerlach LLC ,Lansostral Acgestin,17327772.0
1532,Gerlach LLC ,Decidenu Galantrigine,17322936.63317
1652,Gerlach LLC ,Symdocet,17186020.0
1591,Gerlach LLC ,Lovapur,17174119.0
4896,Romaguera-Fay  ,Ketastadil,17129350.0
1300,Erdman  ,Docstryl Rivacin,17128401.0
2832,Kozey-Emmerich ,Ergomethate,17120380.0
1495,Gerlach LLC ,Apronazol,17103864.0
1607,Gerlach LLC ,Nisorase,17097858.0
2640,Koss   ,Malavirine Alimdine,17051944.0
1590,Gerlach LLC ,Liomulin,17035830.0
1475,Gerlach LLC ,Algluconium Dorzofoxin,17013295.0
2667,Koss   ,Pulmodiol Adalaxime,16997475.0
1427,Erdman  ,Tracdomide,16936488.0
2672,Koss   ,Ranediol,16894130.0
1603,Gerlach LLC ,Microroban Afatigomar,16891564.0
50,Bashirian-Kassulke  ,Formolovir Amanferon,16855750.0
1633,Gerlach LLC ,Relenvice,16846218.0
1452,Gerlach LLC ,Aciprex,16813898.0
2587,Koss   ,Effidomide Evofribrate,16784712.0
1569,Gerlach LLC ,Imiderm Vibranovate,16774680.0
1642,Gerlach LLC ,Sevotrana Tiafoxin,16767695.778894
1369,Erdman  ,Oxymotroban Fexoformin,16759594.0
1563,Gerlach LLC ,Halciramine,16753334.68342
2632,Koss   ,Lioletine Refliruvax,16714005.0
2661,Koss   ,Primapion,16693068.0
1651,Gerlach LLC ,Symbitrim,16671208.0
1498,Gerlach LLC ,Argalazine Abostryl,16602593.0
1637,Gerlach LLC ,Rositroban,16594500.0
2575,Koss   ,Decidenu Galantrigine,16500530.0
1385,Erdman  ,Pulmofine,16496176.0
1428,Erdman  ,Travoloride,16451245.0
2654,Koss   ,Panpion,16440536.0
2702,Koss   ,Tetratanyl,16431205.0
1471,Gerlach LLC ,Albudazole Erobloc,16427777.0
2573,Koss   ,Darlofen,16370067.0
2718,Koss   ,Victomax,16328830.0
2710,Koss   ,Tracdomide,16241076.0
2615,Koss   ,Insozyme,16206665.0
2636,Koss   ,Lovephilus,16176690.0
1608,Gerlach LLC ,Novakyn Tracprox,16107552.0
4894,Romaguera-Fay  ,Ionclotide,16099334.0
1648,Gerlach LLC ,Sumanazole,15908088.0
1453,Gerlach LLC ,Aclonuma,15854826.0
2505,Koss   ,Adtiza Gammaluble,15724628.0
1461,Gerlach LLC ,Adriafinil Ehtymara,15628955.0
2712,Koss   ,Travosoline Capolac,15557440.0
1480,Gerlach LLC ,Alpharolac,15506036.0
1599,Gerlach LLC ,Megenorphine,15497904.0
2709,Koss   ,Topitaine,15495007.0
1681,Gerlach LLC ,Zonitonin,15442616.0
2669,Koss   ,Pulmogen Alitora,15406364.0
1551,Gerlach LLC ,Exotropin Empizine,15377365.0
2668,Koss   ,Pulmofine,15357536.0
1531,Gerlach LLC ,Dasagestin,15351606.0
2855,Kozey-Emmerich ,Insozyme,15342720.0
1481,Gerlach LLC ,Alpradipine,15342710.0
1529,Gerlach LLC ,Dantolac Pazocor,15322202.0
2634,Koss   ,Lovapur,15306229.0
2592,Koss   ,Ergomethate,15304756.0
1656,Gerlach LLC ,Tesnorphine Silotamine,15208644.0
1549,Gerlach LLC ,Ergomethate,15071612.0
80,Bashirian-Kassulke  ,Pentastrin,15068543.0
1654,Gerlach LLC ,Tacrodomide,15048049.8
1560,Gerlach LLC ,Fosinofen,15012786.25
2522,Koss   ,Allomenda,14896843.0
1618,Gerlach LLC ,Primapion,14885952.0
2567,Koss   ,Cordamectin Actolamin,14801110.0
2846,Kozey-Emmerich ,Halciramine,14741178.0
1636,Gerlach LLC ,Robapril,14652285.0
4906,Romaguera-Fay  ,Liomulin,14626500.0
2524,Koss   ,Alpradipine,14624480.0
2638,Koss   ,Magnemunex,14581307.0
1431,Erdman  ,Trazozaprine,14578428.0
1360,Erdman  ,Menogine,14574364.0
1494,Gerlach LLC ,Apromin,14514750.0
1542,Gerlach LLC ,Doxivorin,14495988.0
1622,Gerlach LLC ,Propralamide Dexlanzolam,14478339.0
1365,Erdman  ,Neuropogen Empibax,14463735.0
2514,Koss   ,Albudazole Erobloc,14448832.0
1543,Gerlach LLC ,Duraprazole Agalsixolol,14398125.0
2541,Koss   ,Argalazine Abostryl,14306468.0
2907,Kozey-Emmerich ,Pulmodiol Adalaxime,14274370.0
2678,Koss   ,Ribabyclor,14269794.0
2556,Koss   ,Ceretosine,14257824.0
2676,Koss   ,Relenvice,14254704.0
2495,Koss   ,Aciprex,14233589.0
2655,Koss   ,Paronium Atracustone,14196060.0
1626,Gerlach LLC ,Pulmogen Alitora,14164771.0
2554,Koss   ,Cephovelam,14078992.0
1587,Gerlach LLC ,Lansopril Acribax,14071692.0
2581,Koss   ,Diprolimus,14055495.5089
1366,Erdman  ,Nevanide Actozide,14042318.0
2612,Koss   ,Imiderm Vibranovate,13997880.0
2927,Kozey-Emmerich ,Solasteride,13978120.0
1583,Gerlach LLC ,Kinovatol,13944190.0
1404,Erdman  ,Solasteride,13940160.0
2551,Koss   ,Biotasol Siloderm,13937518.0
1665,Gerlach LLC ,Topipizole,13903776.0
1421,Erdman  ,Theopril,13894656.0
2572,Koss   ,Dantolac Pazocor,13813622.0
2504,Koss   ,Adriafinil Ehtymara,13762875.0
1658,Gerlach LLC ,Tetalamide,13758710.0
1353,Erdman  ,Lovephilus,13688640.0
1462,Gerlach LLC ,Adtiza Gammaluble,13685656.0
1570,Gerlach LLC ,Imiformin Transmunex,13676800.0
2775,Kozey-Emmerich ,Antilamin Clinbital,13665120.0
1240,Erdman  ,Alpharolac,13658658.0
1659,Gerlach LLC ,Tetratanyl,13618150.0
2765,Kozey-Emmerich ,Amamadin,13606892.0
1632,Gerlach LLC ,Relenstrel Exurabine,13555280.0
2620,Koss   ,Invisteride Diclomycin,13546892.0
2700,Koss   ,Testant,13545416.0
2570,Koss   ,Cyclovital,13538646.0
2617,Koss   ,Interfeferon Aspipex,13454688.0
1357,Erdman  ,Malavirine Alimdine,13384150.0
2909,Kozey-Emmerich ,Pulmogen Alitora,13314613.0
1561,Gerlach LLC ,Ganineva Agenium,13314210.0
1555,Gerlach LLC ,Fentatrol Rapatelase,13309709.0
1589,Gerlach LLC ,Lioletine Refliruvax,13295775.0
2658,Koss   ,Pentastrin,13263936.0
2675,Koss   ,Relenstrel Exurabine,13259328.0
1513,Gerlach LLC ,Ceretosine,13236713.0
2641,Koss   ,Malaxolol Aeroprosyn,13232720.0
2523,Koss   ,Alpharolac,13188552.0
4844,Romaguera-Fay  ,Cyclovital,13183221.0
1298,Erdman  ,Diprolimus,13117460.0
1209,Erdman  ,Abtasol,13024596.0
2598,Koss   ,Fentatrol Rapatelase,13008116.0
2697,Koss   ,Tacrodomide,12919620.0
2544,Koss   ,Aspinavir Silovance,12909186.0
2698,Koss   ,Temasone Thiobucil,12857832.0
1612,Gerlach LLC ,Paronium Atracustone,12847662.0
1460,Gerlach LLC ,Adriacaine,12845463.0
1355,Erdman  ,Magnemunex,12766481.0
2884,Kozey-Emmerich ,Metapatch,12751932.0
1577,Gerlach LLC ,Invisteride Diclomycin,12717020.0
1634,Gerlach LLC ,Requimadin,12672480.0
2699,Koss   ,Tesnorphine Silotamine,12608794.0
2571,Koss   ,Dantocept Ferurenone,12602350.0
2561,Koss   ,Claripenem,12572672.0
2679,Koss   ,Robapril,12540399.0
1635,Gerlach LLC ,Ribabyclor,12534963.0
1250,Erdman  ,Angioparin Brimosumab,12533796.0
1601,Gerlach LLC ,Metapatch,12501834.0
85,Bashirian-Kassulke  ,Pulmofine,12441792.0
2645,Koss   ,Methiclotide,12329360.0
1545,Gerlach LLC ,Effigine Propraprex,12287247.04348
1609,Gerlach LLC ,Oxymotroban Fexoformin,12202952.0
1682,Gerlach LLC ,Zonixamine Immulinum,12152440.0
2695,Koss   ,Symdocet,12144330.0
2613,Koss   ,Imiformin Transmunex,12106400.0
2496,Koss   ,Aclonuma,12078468.0
2582,Koss   ,Diprotaine,11925318.0
1524,Gerlach LLC ,Cordamectin Actolamin,11922362.0
1514,Gerlach LLC ,Choriogestrel,11891690.0
1508,Gerlach LLC ,Biotasol Siloderm,11885272.0
1292,Erdman  ,Decidenu Galantrigine,11846610.0
87,Bashirian-Kassulke  ,Ranediol,11789400.0
1255,Erdman  ,Apronazol,11781120.0
1650,Gerlach LLC ,Symbisine Prednimadin,11776960.0
1348,Erdman  ,Lansostral Acgestin,11773806.0
4998,Romaguera-Fay  ,Zonixamine Immulinum,11734346.0
1305,Erdman  ,Effigine Propraprex,11729601.0
2861,Kozey-Emmerich ,Ionclotide,11641319.0
2811,Kozey-Emmerich ,Dantocept Ferurenone,11584952.0
2650,Koss   ,Nisorase,11567955.0
1484,Gerlach LLC ,Amcibax Amcikeran,11563306.946261
2526,Koss   ,Amavirase,11560893.0
1261,Erdman  ,Aspinavir Silovance,11483982.0
1615,Gerlach LLC ,Pentastrin,11454359.0
2684,Koss   ,Sevoderm,11442717.0
2652,Koss   ,Oxymotroban Fexoformin,11428016.0
1509,Gerlach LLC ,Brimorix Amonine,11391954.0
2939,Kozey-Emmerich ,Tesnorphine Silotamine,11339493.0
1684,Gerlach LLC ,Zyvance,11295310.0
2644,Koss   ,Metapatch,11292516.0
2530,Koss   ,Ampinonide,11205632.0
2499,Koss   ,Acycpex,11183280.0
1571,Gerlach LLC ,Immurenol Temarate,11074347.0
2619,Koss   ,Interzide,11074140.0
2727,Koss   ,Zyvance,11073732.0
1,Bashirian-Kassulke  ,Abranatal Lysoprosate,11071698.0
2509,Koss   ,Afretosine,11065964.0
1539,Gerlach LLC ,Diprotaine,11064316.77551
1322,Erdman  ,Halcifergen Nevazone,10979440.0
1364,Erdman  ,Morphizolid Tianalin,10937080.0
2537,Koss   ,Apromin,10897500.0
1354,Erdman  ,Lovepion,10845728.0
1505,Gerlach LLC ,Benzoprox,10844573.244147
1262,Erdman  ,Atomorelin,10820835.0
15,Bashirian-Kassulke  ,Alpharolac,10819900.0
2586,Koss   ,Duraprazole Agalsixolol,10758000.0
1476,Gerlach LLC ,Alglutriptan,10733961.0
1585,Gerlach LLC ,Lacoplex Hyaluvance,10729082.0
1430,Erdman  ,Trazobalamin,10682478.0
2824,Kozey-Emmerich ,Dorzovorin Pentadarone,10680336.0
1231,Erdman  ,Albudazole Erobloc,10675606.0
2552,Koss   ,Brimorix Amonine,10638142.0
2815,Kozey-Emmerich ,Decidenu Galantrigine,10632390.0
2507,Koss   ,Afinitasol,10619180.0
2941,Kozey-Emmerich ,Tetalamide,10584450.0
1400,Erdman  ,Secrelazine Insonamic,10579336.0
1429,Erdman  ,Travosoline Capolac,10549950.0
1307,Erdman  ,Eproline,10547160.0
1253,Erdman  ,Aprerase,10521918.0
4830,Romaguera-Fay  ,Cephozumab Synmethate,10467840.0
1211,Erdman  ,Acelimus,10458920.0
1386,Erdman  ,Pulmogen Alitora,10432875.0
1237,Erdman  ,Alimmethate Insudase,10311600.0
1243,Erdman  ,Amavirase,10293232.0
5000,Romaguera-Fay  ,Zyvance,10284643.0
5984,Welch-Langworth ,Imiderm Vibranovate,10266360.0
2588,Koss   ,Effigine Propraprex,10253646.0
1466,Gerlach LLC ,Afretosine,10246248.0
2626,Koss   ,Kinovatol,10239750.0
1568,Gerlach LLC ,Ibrulinum,10226940.0
4949,Romaguera-Fay  ,Relenvice,10225602.0
1249,Erdman  ,Androporin,10223067.0
6020,Welch-Langworth ,Neuropogen Empibax,10206350.0
1446,Gerlach LLC ,Abilovir Aprotasol,10189289.6
1341,Erdman  ,Kinenadryl,10175384.0
2519,Koss   ,Alglutriptan,10170188.0
1205,Erdman  ,Abatatriptan,10167626.0
2677,Koss   ,Requimadin,10122480.0
2600,Koss   ,Finanel,10109038.0
1224,Erdman  ,Afinitasol,10059478.0
1287,Erdman  ,Cyclovital,10008091.0
39,Bashirian-Kassulke  ,Dexmebital Acanplan,10006200.0
2596,Koss   ,Factolamide,10001550.0
1340,Erdman  ,Ketastadil,9986907.0
1251,Erdman  ,Antaparin Varizyme,9955278.0
2725,Koss   ,Zonixamine Immulinum,9953796.0
4857,Romaguera-Fay  ,Docstryl Rivacin,9901950.0
1362,Erdman  ,Methiclotide,9898754.0
1252,Erdman  ,Antilamin Clinbital,9892272.0
2843,Kozey-Emmerich ,Fosinofen,9846375.0
1208,Erdman  ,Abranatal Lysoprosate,9822744.0
1318,Erdman  ,Flutacerol,9800475.0
1291,Erdman  ,Dasagestin,9749588.0
1442,Erdman  ,Zonixamine Immulinum,9710628.0
2947,Kozey-Emmerich ,Topifribrate,9647856.0
1553,Gerlach LLC ,Factolamide,9626535.0
2539,Koss   ,Aquamycin Lacoran,9619635.0
1311,Erdman  ,Exotropin Empizine,9605260.0
2900,Kozey-Emmerich ,Presetron,9541584.0
2603,Koss   ,Fosinofen,9504495.0
1332,Erdman  ,Insozyme,9386150.0
1241,Erdman  ,Alpradipine,9365470.0
2527,Koss   ,Amcibax Amcikeran,9326922.0
4855,Romaguera-Fay  ,Diprolimus,9281126.0
2665,Koss   ,Propralamide Dexlanzolam,9270610.0
1275,Erdman  ,Choriotrisin,9265698.0
2882,Kozey-Emmerich ,Megenorphine,9248814.0
1487,Gerlach LLC ,Ampinonide,9209976.0
2606,Koss   ,Halciramine,9208635.0
1308,Erdman  ,Epzipitant,9157838.0
1363,Erdman  ,Microroban Afatigomar,9131712.0
1215,Erdman  ,Acycnafine Microvate,9120538.0
1488,Gerlach LLC ,Ampysin,9101079.0
1344,Erdman  ,Kiovax Tercorolac,9016336.0
1574,Gerlach LLC ,Interfeferon Aspipex,8996000.0
2642,Koss   ,Megenorphine,8988720.0
1314,Erdman  ,Fentalac,8894874.0
1371,Erdman  ,Panpion,8851372.0
6086,Welch-Langworth ,Trazozaprine,8840796.0
1677,Gerlach LLC ,Xenaderal,8763980.0
2685,Koss   ,Sevotrana Tiafoxin,8741380.0
1350,Erdman  ,Liomulin,8724450.0
2848,Kozey-Emmerich ,Hepavice,8675520.0
1266,Erdman  ,Betanem,8661536.0
1302,Erdman  ,Doxivorin,8659512.0
2708,Koss   ,Topipizole,8653152.0
4817,Romaguera-Fay  ,Arivac,8641080.0
1420,Erdman  ,Thalilamide,8624145.0
1469,Gerlach LLC ,Aggretisol,8614822.0
1242,Erdman  ,Amamadin,8614466.0
1221,Erdman  ,Adriafinil Ehtymara,8578190.0
1358,Erdman  ,Malaxolol Aeroprosyn,8472756.0
1216,Erdman  ,Acycpex,8451210.0
2717,Koss   ,Vibratosine Alemtrace,8403560.0
1672,Gerlach LLC ,Ultrimax Ultriset,8384192.0
1339,Erdman  ,Ketamara Evogel,8368448.0
1503,Gerlach LLC ,Atrabicin Alkerotec,8366898.0
2548,Koss   ,Benzoprox,8340512.0
997,Daugherty-Rempel  ,Alimmethate Insudase,8262384.0
1349,Erdman  ,Lioletine Refliruvax,8254125.0
2546,Koss   ,Atrabicin Alkerotec,8233932.0
2574,Koss   ,Dasagestin,8218712.0
1346,Erdman  ,Lactubucil,8183565.0
1619,Gerlach LLC ,Primatate Univatol,8179976.0
2883,Kozey-Emmerich ,Menogine,8169420.0
2489,Koss   ,Abilovir Aprotasol,8155542.0
1342,Erdman  ,Kinerinex,8148318.0
1214,Erdman  ,Acubulin,8147230.0
1258,Erdman  ,Argalazine Abostryl,8130716.0
1424,Erdman  ,Topifribrate,8105292.0
2780,Kozey-Emmerich ,Araxetine,8100450.0
68,Bashirian-Kassulke  ,Lovepion,8081664.0
1259,Erdman  ,Arivac,8080317.0
1444,Erdman  ,Zyvance,8057881.0
1647,Gerlach LLC ,Sucprine Specbalamin,8050224.0
1336,Erdman  ,Interzide,8016540.0
1383,Erdman  ,Propratecan,7972580.0
1230,Erdman  ,Alarudin Azarolac,7972020.0
2604,Koss   ,Ganineva Agenium,7959510.0
1411,Erdman  ,Symbitrim,7914576.0
1397,Erdman  ,Rositroban,7904273.0
1270,Erdman  ,Ceftatana Serolamide,7803425.0
1564,Gerlach LLC ,Hemavate Spirolinum,7741020.0
4872,Romaguera-Fay  ,Fentatrol Rapatelase,7735162.0
1313,Erdman  ,Factolamide,7727310.0
1485,Gerlach LLC ,Amlominphen Dexanovate,7664790.0
1426,Erdman  ,Topitaine,7655736.0
2660,Koss   ,Presetron,7635384.0
1297,Erdman  ,Diazemid Felcept,7604878.0
2557,Koss   ,Choriogestrel,7570152.0
2682,Koss   ,Saprodeine Zanprosyn,7551875.0
1674,Gerlach LLC ,Vibratosine Alemtrace,7480083.0
1550,Gerlach LLC ,Exexone,7459190.0
1304,Erdman  ,Effidomide Evofribrate,7444980.0
2720,Koss   ,Xenaderal,7357016.0
1417,Erdman  ,Testant,7339520.0
4828,Romaguera-Fay  ,Ceftatana Serolamide,7255430.0
2706,Koss   ,Tiaracil,7229825.30669
1213,Erdman  ,Aclonuma,7228974.0
1535,Gerlach LLC ,Dexmeprazole Transnuvia,7214400.0
2960,Kozey-Emmerich ,Xenaderal,7203693.0
2885,Kozey-Emmerich ,Methiclotide,7200676.0
1271,Erdman  ,Cephovelam,7137598.0
1338,Erdman  ,Ionclotide,7127776.0
1234,Erdman  ,Alemtuvatol Megalinum,7107804.0
1408,Erdman  ,Sumanazole,7056331.0
2657,Koss   ,Penitrana,7015189.0
2834,Kozey-Emmerich ,Exotropin Empizine,6969230.0
1337,Erdman  ,Invisteride Diclomycin,6930968.0
1402,Erdman  ,Sevotrana Tiafoxin,6911960.0
1272,Erdman  ,Cephozumab Synmethate,6893568.0
2628,Koss   ,Lacoplex Hyaluvance,6886078.0
2503,Koss   ,Adriacaine,6864054.0
2785,Kozey-Emmerich ,Atomorelin,6825945.0
1239,Erdman  ,Allomenda,6822383.0
1416,Erdman  ,Tesnorphine Silotamine,6820858.0
1347,Erdman  ,Lansopril Acribax,6808788.0
2847,Kozey-Emmerich ,Hemavate Spirolinum,6798120.0
2609,Koss   ,Hydroxyprosyn,6784580.0
1614,Gerlach LLC ,Penitrana,6757949.33198
2798,Kozey-Emmerich ,Choriotrisin,6716124.0
2868,Kozey-Emmerich ,Lacoplex Hyaluvance,6712398.0
1504,Gerlach LLC ,Belavarix Benzabicin,6692004.0
2512,Koss   ,Aggretisol,6657158.0
1435,Erdman  ,Victomax,6641180.0
2886,Kozey-Emmerich ,Microroban Afatigomar,6626036.0
2681,Koss   ,Sanctumine,6623795.0
1425,Erdman  ,Topipizole,6594192.0
