,Product Name,Month,Year,Channel,Sub-channel,Sales
32523,Pentastrin,September,2019,Pharmacy,Institution,9967335.0
29849,Metapatch,October,2020,Hospital,Government,9786234.0
12667,Cephovelam,June,2018,Pharmacy,Institution,9632424.0
41791,Topifribrate,November,2019,Hospital,Government,9355986.0
11632,Betanem,August,2017,Pharmacy,Institution,9331803.0
12819,Cephozumab Synmethate,January,2017,Hospital,Government,9323520.0
32890,Presetron,October,2020,Hospital,Government,9308520.0
40292,Tesnorphine Silotamine,October,2020,Pharmacy,Institution,9266950.0
15980,Dantocept Ferurenone,September,2019,Hospital,Private,9225350.0
30143,Microroban Afatigomar,July,2018,Pharmacy,Institution,8885542.0
18429,Dorzovorin Pentadarone,November,2020,Pharmacy,Institution,8870760.0
45227,Zonixamine Immulinum,September,2017,Pharmacy,Institution,8791000.0
582,Abranatal Lysoprosate,April,2019,Pharmacy,Institution,8788986.0
34547,Pulmogen Alitora,March,2018,Hospital,Government,8667859.0
8453,Androporin,July,2018,Hospital,Government,8659919.0
31381,Oxymotroban Fexoformin,September,2018,Pharmacy,Retail,8650246.0
10379,Arivac,June,2018,Pharmacy,Retail,8647884.0
15725,Cyclovital,March,2018,Pharmacy,Institution,8627011.0
22502,Halciramine,February,2019,Hospital,Private,8578775.0
17779,Diprolimus,July,2017,Hospital,Government,8273700.0
3186,Adriafinil Ehtymara,November,2017,Hospital,Private,8259330.0
16577,Decidenu Galantrigine,August,2017,Pharmacy,Retail,8177990.0
10358,Arivac,July,2017,Pharmacy,Institution,8071245.0
28370,Lovepion,August,2019,Hospital,Private,8055552.0
4605,Aggretisol,December,2019,Pharmacy,Institution,7888296.0
26540,Kiovax Tercorolac,June,2018,Pharmacy,Institution,7800488.0
29328,Megenorphine,August,2020,Pharmacy,Institution,7756992.0
30243,Microroban Afatigomar,September,2019,Pharmacy,Retail,7686240.0
30473,Neuropogen Empibax,December,2018,Hospital,Government,7621790.0
768,Abtasol,April,2018,Pharmacy,Retail,7540754.0
21905,Fosinofen,August,2020,Hospital,Government,7408555.0
11635,Betanem,August,2018,Hospital,Private,7344831.0
5752,Algluconium Dorzofoxin,December,2020,Pharmacy,Retail,7338110.0
2544,Adideine,January,2018,Hospital,Private,7167138.0
15977,Dantocept Ferurenone,September,2018,Pharmacy,Institution,7101524.0
41644,Topifribrate,April,2018,Hospital,Government,7100514.0
11768,Betanem,November,2019,Pharmacy,Retail,7061327.0
21044,Fentatrol Rapatelase,March,2018,Pharmacy,Retail,7042666.0
38646,Sumanazole,December,2019,Pharmacy,Retail,7035171.0
22851,Hepavice,August,2019,Hospital,Government,7001120.0
9010,Antilamin Clinbital,January,2018,Pharmacy,Institution,6978640.0
9885,Aquamycin Lacoran,September,2018,Pharmacy,Institution,6972795.0
35824,Relenvice,January,2018,Hospital,Government,6960276.0
10072,Araxetine,September,2017,Pharmacy,Institution,6916500.0
33867,Propratecan,April,2018,Pharmacy,Retail,6889564.0
43104,Trazozaprine,May,2018,Pharmacy,Retail,6842820.0
18270,Docstryl Rivacin,September,2020,Pharmacy,Retail,6798813.0
37332,Sevoderm,February,2019,Hospital,Private,6730113.0
30537,Neuropogen Empibax,June,2018,Hospital,Government,6699770.0
41251,Theopril,September,2018,Hospital,Government,6690048.0
13407,Choriotrisin,July,2018,Hospital,Private,6678300.0
25040,Interzide,March,2019,Hospital,Government,6439020.0
28264,Lovephilus,June,2020,Pharmacy,Retail,6349620.0
25339,Ionclotide,December,2019,Hospital,Government,6337133.0
5823,Algluconium Dorzofoxin,March,2018,Pharmacy,Retail,6334237.0
44887,Zonitonin,August,2019,Pharmacy,Institution,6320636.0
37236,Secrelazine Insonamic,November,2018,Pharmacy,Institution,6205748.0
29019,Malavirine Alimdine,June,2018,Pharmacy,Retail,6181253.0
18577,Doxivorin,March,2018,Hospital,Government,6092412.0
30782,Nevanide Actozide,November,2019,Pharmacy,Institution,6085829.0
40461,Testant,November,2018,Pharmacy,Retail,6084384.0
22795,Hemavate Spirolinum,November,2020,Pharmacy,Institution,6082020.0
3737,Afinitasol,May,2017,Hospital,Government,6019156.0
30533,Neuropogen Empibax,June,2017,Hospital,Government,5997970.0
33697,Propralamide Dexlanzolam,August,2019,Pharmacy,Institution,5978390.0
27640,Liomulin,February,2018,Pharmacy,Retail,5928020.0
8942,Antilamin Clinbital,April,2017,Pharmacy,Institution,5896320.0
23076,Hydroxyprosyn,February,2019,Pharmacy,Institution,5883900.0
25768,Ketastadil,July,2019,Hospital,Government,5809482.0
19496,Eproline,July,2018,Pharmacy,Retail,5701800.0
3133,Adriafinil Ehtymara,July,2020,Hospital,Government,5625525.0
25320,Ionclotide,August,2018,Hospital,Private,5606435.0
16333,Darlofen,November,2020,Hospital,Private,5585360.0
3280,Adtiza Gammaluble,February,2017,Pharmacy,Institution,5508524.0
35785,Relenvice,August,2019,Pharmacy,Institution,5450625.0
29175,Malaxolol Aeroprosyn,January,2017,Pharmacy,Retail,5388468.0
39520,Symdocet,October,2017,Pharmacy,Institution,5386200.0
1831,Acubulin,March,2018,Hospital,Private,5375790.0
24343,Insozyme,September,2018,Pharmacy,Retail,5365105.0
25702,Ketastadil,August,2018,Pharmacy,Institution,5319636.0
2365,Adalatamine,July,2017,Hospital,Private,5290422.0
42373,Tracdomide,October,2018,Hospital,Private,5216412.0
9539,Apronazol,August,2019,Hospital,Private,5213712.0
17430,Diaxolol,March,2017,Hospital,Government,5205825.0
40874,Tetratanyl,September,2019,Hospital,Government,5161611.0
19135,Effigine Propraprex,June,2020,Hospital,Government,5135117.0
15995,Dantolac Pazocor,April,2019,Hospital,Private,5121658.0
30666,Nevanide Actozide,December,2018,Pharmacy,Institution,5064696.0
4606,Aggretisol,December,2019,Pharmacy,Retail,5053194.0
17659,Diazemid Felcept,November,2018,Pharmacy,Retail,5028439.0
13417,Choriotrisin,July,2020,Pharmacy,Retail,5023500.0
31806,Paronium Atracustone,December,2018,Hospital,Private,5023062.0
6617,Allomenda,November,2018,Pharmacy,Institution,5019509.0
25970,Kinenadryl,June,2018,Hospital,Private,5018094.0
10026,Araxetine,May,2018,Hospital,Government,4995900.0
29894,Methiclotide,August,2019,Pharmacy,Institution,4992200.0
43006,Trazozaprine,December,2018,Hospital,Government,4965912.0
26942,Lactubucil,March,2019,Pharmacy,Retail,4954950.0
37502,Sevotrana Tiafoxin,December,2018,Pharmacy,Institution,4894860.0
7237,Amavirase,April,2019,Hospital,Private,4870000.0
9521,Apronazol,April,2018,Pharmacy,Retail,4848384.0
9948,Araxetine,February,2018,Hospital,Private,4828500.0
12432,Ceftatana Serolamide,February,2019,Hospital,Government,4823070.0
18132,Docstryl Rivacin,February,2017,Pharmacy,Retail,4797120.0
15188,Cordamectin Actolamin,November,2018,Pharmacy,Retail,4791919.0
45457,Zyvance,August,2019,Pharmacy,Institution,4772002.0
40521,Tetalamide,August,2017,Pharmacy,Retail,4771280.0
15721,Cyclovital,March,2017,Pharmacy,Institution,4739000.0
30312,Morphizolid Tianalin,January,2017,Hospital,Private,4702796.0
4840,Alarudin Azarolac,July,2018,Hospital,Private,4691358.0
30629,Nevanide Actozide,April,2017,Hospital,Private,4675877.0
41207,Theopril,May,2018,Pharmacy,Retail,4654080.0
43848,Victomax,March,2019,Pharmacy,Retail,4643219.0
21585,Flutacerol,July,2019,Hospital,Private,4604845.0
12551,Ceftatana Serolamide,September,2017,Hospital,Government,4534495.0
26398,Kinovatol,November,2018,Pharmacy,Institution,4526210.0
40620,Tetalamide,March,2019,Hospital,Government,4509410.0
9784,Aquamycin Lacoran,July,2017,Hospital,Private,4488450.0
33756,Propralamide Dexlanzolam,July,2018,Pharmacy,Retail,4445670.0
43758,Victomax,August,2020,Pharmacy,Retail,4444482.0
38005,Solasteride,October,2017,Pharmacy,Retail,4443400.0
38715,Sumanazole,March,2017,Hospital,Government,4443071.0
34748,Quiniprosyn,May,2017,Pharmacy,Institution,4428640.0
37211,Secrelazine Insonamic,March,2019,Pharmacy,Retail,4424250.0
40354,Testant,December,2020,Hospital,Government,4406640.0
17727,Diprolimus,August,2020,Hospital,Government,4406300.0
35909,Relenvice,November,2019,Pharmacy,Retail,4401810.0
41254,Theopril,September,2018,Pharmacy,Retail,4395264.0
23634,Imiderm Vibranovate,December,2020,Hospital,Government,4368780.0
24195,Insozyme,December,2017,Pharmacy,Institution,4351820.0
6143,Alimmethate Insudase,February,2019,Hospital,Private,4329312.0
21519,Flutacerol,August,2018,Pharmacy,Retail,4303865.0
16591,Decidenu Galantrigine,December,2017,Pharmacy,Institution,4275140.0
16261,Darlofen,July,2018,Hospital,Private,4267492.0
30925,Nisorase,June,2019,Hospital,Private,4248723.0
18518,Doxivorin,February,2019,Hospital,Government,4240488.0
5681,Alemtuvatol Megalinum,October,2018,Pharmacy,Institution,4179978.0
20287,Exotropin Empizine,March,2018,Pharmacy,Institution,4177770.0
18799,Duraprazole Agalsixolol,November,2018,Pharmacy,Institution,4170750.0
31757,Panpion,September,2018,Hospital,Government,4169300.0
42358,Tracdomide,November,2018,Hospital,Private,4156032.0
21615,Flutacerol,March,2019,Hospital,Government,4154865.0
28320,Lovephilus,October,2018,Pharmacy,Retail,4136274.0
139,Abatatriptan,May,2019,Pharmacy,Retail,4117358.0
3632,Afinitasol,August,2018,Pharmacy,Retail,4111250.0
39334,Symbitrim,October,2018,Pharmacy,Institution,4103616.0
19955,Ergomethate,October,2018,Pharmacy,Institution,4099348.0
29872,Methiclotide,April,2018,Hospital,Government,4091314.0
42560,Travoloride,October,2017,Pharmacy,Institution,4086710.0
7025,Alpradipine,September,2017,Pharmacy,Retail,4078870.0
16721,Decidenu Galantrigine,October,2018,Hospital,Government,4076310.0
16274,Darlofen,June,2017,Pharmacy,Institution,4064965.0
855,Abtasol,July,2020,Pharmacy,Retail,4061798.0
829,Abtasol,January,2018,Hospital,Government,4054258.0
9107,Antilamin Clinbital,October,2018,Pharmacy,Retail,4049736.0
34315,Pulmofine,January,2019,Pharmacy,Retail,4032368.0
19661,Epzipitant,February,2020,Pharmacy,Retail,4030818.0
21512,Flutacerol,August,2017,Hospital,Government,4030450.0
9278,Aprerase,November,2017,Pharmacy,Retail,4025670.0
35007,Ranediol,April,2018,Pharmacy,Retail,4025238.0
42303,Tracdomide,July,2020,Pharmacy,Institution,4001496.0
6119,Alimmethate Insudase,December,2017,Hospital,Government,3984240.0
25510,Ketamara Evogel,August,2018,Hospital,Government,3983936.0
41808,Topifribrate,October,2019,Pharmacy,Institution,3979368.0
43121,Trazozaprine,November,2019,Hospital,Government,3978960.0
10885,Atomorelin,December,2017,Hospital,Private,3961590.0
16401,Dasagestin,December,2017,Pharmacy,Institution,3960360.0
14742,Cogxone Levanide,July,2018,Hospital,Private,3954790.0
14676,Cogxone Levanide,August,2017,Pharmacy,Institution,3952732.0
34030,Propratecan,October,2019,Pharmacy,Retail,3950826.0
40989,Thalilamide,June,2020,Hospital,Government,3944610.0
16502,Dasagestin,May,2018,Pharmacy,Retail,3934112.0
31342,Oxymotroban Fexoformin,May,2020,Pharmacy,Retail,3915900.0
6101,Alimmethate Insudase,April,2020,Pharmacy,Institution,3910608.0
34471,Pulmogen Alitora,December,2019,Hospital,Government,3907880.0
5739,Algluconium Dorzofoxin,December,2017,Pharmacy,Institution,3899402.0
33911,Propratecan,February,2018,Hospital,Government,3896948.0
38734,Sumanazole,May,2017,Pharmacy,Retail,3882860.0
28465,Lovepion,March,2019,Hospital,Private,3877088.0
27171,Lansopril Acribax,October,2017,Hospital,Private,3873516.0
3159,Adriafinil Ehtymara,March,2018,Pharmacy,Institution,3860560.0
18144,Docstryl Rivacin,February,2020,Pharmacy,Retail,3851898.0
28727,Magnemunex,September,2020,Pharmacy,Retail,3850821.0
13932,Claripenem,December,2017,Pharmacy,Retail,3839360.0
18685,Duraprazole Agalsixolol,December,2017,Pharmacy,Institution,3839250.0
21676,Flutacerol,September,2018,Hospital,Private,3827810.0
14701,Cogxone Levanide,December,2020,Hospital,Government,3824450.0
22733,Hemavate Spirolinum,June,2017,Hospital,Government,3821790.0
20918,Fentalac,September,2018,Pharmacy,Retail,3816150.0
42258,Tracdomide,February,2017,Hospital,Government,3815176.0
35855,Relenvice,June,2018,Hospital,Government,3806946.0
29674,Menogine,September,2019,Hospital,Private,3804976.0
25914,Kinenadryl,December,2020,Hospital,Government,3753600.0
22505,Halciramine,February,2020,Hospital,Government,3750530.0
9285,Aprerase,November,2019,Pharmacy,Institution,3746886.0
7136,Amamadin,June,2018,Hospital,Government,3709739.0
2517,Adideine,December,2019,Pharmacy,Institution,3705270.0
8739,Angioparin Brimosumab,September,2017,Pharmacy,Retail,3697804.0
14050,Claripenem,November,2019,Hospital,Private,3694208.0
17697,Diazemid Felcept,September,2020,Hospital,Private,3672483.0
38933,Symbiroban,May,2020,Pharmacy,Retail,3664880.0
29955,Methiclotide,July,2019,Pharmacy,Institution,3662626.0
818,Abtasol,February,2019,Hospital,Private,3619200.0
10364,Arivac,July,2019,Hospital,Government,3597048.0
41804,Topifribrate,October,2018,Hospital,Private,3594348.0
8690,Angioparin Brimosumab,May,2017,Pharmacy,Institution,3590048.0
30622,Neuropogen Empibax,September,2019,Pharmacy,Institution,3572525.0
25429,Ionclotide,May,2017,Pharmacy,Retail,3571460.0
29833,Metapatch,November,2019,Pharmacy,Retail,3570138.0
9062,Antilamin Clinbital,March,2019,Pharmacy,Institution,3566344.0
10250,Argalazine Abostryl,October,2018,Hospital,Government,3563272.0
31221,Oxymotroban Fexoformin,August,2018,Hospital,Private,3560950.0
26229,Kinerinex,October,2019,Pharmacy,Institution,3541031.0
1998,Acycnafine Microvate,July,2020,Hospital,Government,3536092.0
43876,Victomax,November,2018,Pharmacy,Retail,3531787.0
41190,Theopril,March,2018,Hospital,Private,3526656.0
30201,Microroban Afatigomar,November,2017,Hospital,Private,3522860.0
20883,Fentalac,November,2018,Hospital,Government,3519510.0
13314,Choriogestrel,September,2019,Hospital,Government,3501230.0
32512,Pentastrin,October,2020,Pharmacy,Institution,3494904.0
15648,Cyclovital,December,2019,Hospital,Government,3486550.0
37191,Secrelazine Insonamic,June,2018,Pharmacy,Retail,3479716.0
6960,Alpradipine,March,2017,Hospital,Government,3463435.0
42331,Tracdomide,March,2019,Pharmacy,Institution,3447468.0
808,Abtasol,December,2020,Pharmacy,Retail,3438240.0
6706,Alpharolac,December,2020,Pharmacy,Retail,3415997.0
30092,Microroban Afatigomar,December,2017,Pharmacy,Retail,3408618.0
45533,Zyvance,June,2018,Pharmacy,Retail,3393438.0
37451,Sevoderm,September,2017,Pharmacy,Institution,3391245.0
15745,Cyclovital,May,2019,Pharmacy,Institution,3390416.0
8663,Angioparin Brimosumab,June,2018,Pharmacy,Retail,3389540.0
26657,Lacoplex Hyaluvance,August,2019,Pharmacy,Retail,3385758.0
27219,Lansostral Acgestin,August,2017,Hospital,Private,3383919.0
2076,Acycnafine Microvate,October,2019,Pharmacy,Retail,3368960.0
40237,Tesnorphine Silotamine,March,2018,Pharmacy,Retail,3364812.0
42490,Travoloride,July,2020,Hospital,Government,3337035.0
2023,Acycnafine Microvate,March,2018,Hospital,Private,3334744.0
756,Abranatal Lysoprosate,September,2019,Pharmacy,Institution,3332814.0
18166,Docstryl Rivacin,July,2018,Pharmacy,Institution,3331947.0
29662,Menogine,October,2020,Hospital,Private,3321192.0
11681,Betanem,January,2018,Hospital,Government,3309787.0
26554,Kiovax Tercorolac,March,2018,Hospital,Government,3296652.0
26056,Kinenadryl,September,2019,Pharmacy,Retail,3290656.0
42968,Trazobalamin,September,2020,Pharmacy,Institution,3288792.0
6121,Alimmethate Insudase,December,2017,Pharmacy,Institution,3268512.0
38024,Solasteride,September,2018,Pharmacy,Retail,3266120.0
11008,Atomorelin,November,2020,Hospital,Private,3265620.0
39329,Symbitrim,October,2017,Hospital,Private,3259416.0
38626,Sumanazole,August,2018,Pharmacy,Retail,3248589.0
24108,Immurenol Temarate,May,2019,Pharmacy,Institution,3245130.0
16258,Darlofen,July,2017,Pharmacy,Institution,3240432.0
30595,Neuropogen Empibax,November,2020,Pharmacy,Retail,3240380.0
44196,Xenaderal,July,2020,Hospital,Government,3232223.0
15805,Dantocept Ferurenone,April,2018,Pharmacy,Institution,3223193.0
7590,Amcibax Amcikeran,October,2020,Hospital,Private,3219986.0
42425,Travoloride,August,2019,Pharmacy,Institution,3218500.0
18863,Effidomide Evofribrate,August,2018,Pharmacy,Retail,3216060.0
21091,Fentatrol Rapatelase,October,2018,Pharmacy,Institution,3212412.0
28685,Magnemunex,November,2018,Hospital,Private,3212118.0
12426,Ceftatana Serolamide,February,2017,Pharmacy,Institution,3208240.0
45105,Zonixamine Immulinum,February,2018,Pharmacy,Institution,3196050.0
43051,Trazozaprine,July,2017,Pharmacy,Institution,3189540.0
40412,Testant,June,2018,Pharmacy,Institution,3189080.0
34616,Pulmogen Alitora,September,2020,Hospital,Government,3183240.0
11634,Betanem,August,2018,Hospital,Government,3180866.0
18162,Docstryl Rivacin,July,2017,Pharmacy,Institution,3178092.0
44105,Xenaderal,April,2017,Hospital,Government,3175932.0
28969,Malavirine Alimdine,February,2018,Hospital,Private,3159273.0
37111,Secrelazine Insonamic,August,2018,Pharmacy,Institution,3150066.0
10323,Arivac,December,2020,Pharmacy,Retail,3149685.0
42587,Travoloride,September,2020,Pharmacy,Institution,3143140.0
8902,Antaparin Varizyme,November,2019,Pharmacy,Institution,3139560.0
19520,Eproline,June,2020,Pharmacy,Retail,3135600.0
20781,Fentalac,December,2019,Pharmacy,Retail,3129552.0
19858,Ergomethate,January,2018,Hospital,Private,3126304.0
37939,Solasteride,June,2017,Hospital,Government,3113240.0
2466,Adalatamine,September,2018,Pharmacy,Institution,3110098.0
25672,Ketamara Evogel,September,2018,Pharmacy,Retail,3104640.0
12412,Ceftatana Serolamide,December,2018,Hospital,Government,3096380.0
30270,Morphizolid Tianalin,August,2018,Pharmacy,Retail,3095624.0
41719,Topifribrate,July,2017,Hospital,Government,3095064.0
1480,Aciprex,November,2018,Hospital,Private,3089719.0
13191,Choriogestrel,February,2019,Pharmacy,Retail,3089688.0
39067,Symbisine Prednimadin,July,2018,Pharmacy,Retail,3088032.0
4134,Afretosine,November,2017,Hospital,Government,3087368.0
36191,Ribabyclor,February,2018,Hospital,Private,3077109.0
6244,Alimmethate Insudase,November,2020,Pharmacy,Retail,3076320.0
38183,Spiroderall,November,2018,Pharmacy,Institution,3075630.0
9359,Apromin,December,2018,Hospital,Private,3071625.0
1449,Aciprex,March,2018,Pharmacy,Institution,3068248.0
38065,Spiroderall,December,2017,Hospital,Government,3061264.0
41142,Theopril,January,2018,Hospital,Private,3059712.0
42194,Topitaine,September,2017,Hospital,Government,3050300.0
38149,Spiroderall,March,2018,Hospital,Government,3042327.0
14763,Cogxone Levanide,June,2019,Pharmacy,Institution,3041724.0
18161,Docstryl Rivacin,July,2017,Hospital,Private,3037650.0
40222,Tesnorphine Silotamine,June,2019,Hospital,Government,3035923.0
34382,Pulmofine,May,2020,Pharmacy,Institution,3028576.0
29038,Malavirine Alimdine,March,2019,Pharmacy,Institution,3018145.0
12921,Cephozumab Synmethate,October,2018,Pharmacy,Retail,3011328.0
28431,Lovepion,July,2018,Pharmacy,Retail,3009408.0
10992,Atomorelin,May,2020,Hospital,Private,3004770.0
43957,Victomine,December,2019,Hospital,Private,3004005.0
14028,Claripenem,May,2017,Pharmacy,Retail,2990400.0
29677,Menogine,September,2020,Hospital,Government,2983582.0
18923,Effidomide Evofribrate,July,2017,Pharmacy,Retail,2977992.0
19699,Epzipitant,June,2018,Hospital,Private,2976628.0
27331,Lansostral Acgestin,May,2017,Hospital,Private,2965083.0
28511,Lovepion,October,2018,Pharmacy,Retail,2960992.0
13423,Choriotrisin,June,2018,Hospital,Private,2958546.0
42682,Travosoline Capolac,July,2020,Hospital,Private,2958500.0
42401,Travoloride,April,2017,Pharmacy,Institution,2953170.0
40897,Thalilamide,April,2020,Pharmacy,Retail,2952000.0
44086,Victomine,October,2019,Pharmacy,Retail,2930685.0
12315,Brimorix Amonine,May,2017,Pharmacy,Retail,2926494.0
30055,Methiclotide,September,2020,Pharmacy,Institution,2923414.0
29614,Menogine,March,2020,Hospital,Private,2913834.0
28188,Lovephilus,December,2017,Hospital,Private,2907672.0
37633,Sevotrana Tiafoxin,October,2019,Hospital,Private,2907200.0
34805,Quiniprosyn,September,2019,Pharmacy,Retail,2906295.0
26872,Lactubucil,February,2018,Hospital,Government,2906280.0
588,Abranatal Lysoprosate,August,2017,Hospital,Government,2903103.0
35137,Ranediol,May,2020,Hospital,Private,2900433.0
37358,Sevoderm,July,2017,Pharmacy,Retail,2897973.0
40097,Temasone Thiobucil,October,2019,Hospital,Government,2896820.0
14698,Cogxone Levanide,December,2019,Hospital,Private,2891490.0
10958,Atomorelin,June,2019,Pharmacy,Retail,2888220.0
25381,Ionclotide,July,2017,Pharmacy,Institution,2888087.0
22535,Halciramine,July,2019,Pharmacy,Institution,2883450.0
1621,Aclonuma,June,2017,Pharmacy,Institution,2880498.0
25808,Ketastadil,May,2017,Hospital,Government,2870406.0
40536,Tetalamide,December,2017,Pharmacy,Institution,2861650.0
7113,Amamadin,January,2020,Hospital,Private,2861269.0
42802,Trazobalamin,August,2018,Pharmacy,Retail,2857500.0
20229,Exotropin Empizine,February,2019,Pharmacy,Retail,2849550.0
4867,Alarudin Azarolac,March,2017,Hospital,Government,2832165.0
45560,Zyvance,May,2017,Pharmacy,Institution,2826250.0
34379,Pulmofine,May,2019,Pharmacy,Retail,2821488.0
3725,Afinitasol,March,2018,Hospital,Government,2812524.0
76,Abatatriptan,January,2020,Hospital,Government,2809954.0
42235,Tracdomide,August,2019,Hospital,Private,2807952.0
17804,Diprolimus,June,2019,Hospital,Private,2803548.0
28937,Malavirine Alimdine,August,2017,Pharmacy,Retail,2801084.0
42538,Travoloride,May,2020,Hospital,Government,2800095.0
42506,Travoloride,June,2020,Hospital,Government,2796170.0
21414,Finanel,June,2020,Hospital,Private,2790682.0
1749,Acubulin,December,2017,Pharmacy,Institution,2787610.0
10287,Arivac,April,2019,Pharmacy,Retail,2782836.0
21548,Flutacerol,February,2018,Hospital,Government,2780340.0
10698,Aspinavir Silovance,December,2018,Pharmacy,Institution,2777391.0
19542,Eproline,May,2018,Pharmacy,Institution,2772900.0
31628,Panpion,December,2020,Pharmacy,Retail,2768000.0
12186,Brimorix Amonine,April,2017,Hospital,Private,2765304.0
20861,Fentalac,March,2020,Hospital,Government,2764314.0
20230,Exotropin Empizine,February,2020,Hospital,Government,2761630.0
26603,Kiovax Tercorolac,October,2018,Hospital,Private,2758762.0
21884,Fosinofen,April,2018,Pharmacy,Retail,2747360.0
20849,Fentalac,March,2017,Hospital,Government,2738358.0
23932,Imiformin Transmunex,November,2019,Hospital,Government,2734400.0
8459,Androporin,July,2019,Pharmacy,Institution,2726942.0
35496,Rebedase Aplencor,March,2019,Hospital,Government,2722500.0
28619,Magnemunex,July,2017,Pharmacy,Retail,2718794.0
43785,Victomax,February,2019,Pharmacy,Retail,2712542.0
8773,Antaparin Varizyme,August,2018,Pharmacy,Institution,2702484.0
44971,Zonitonin,June,2020,Pharmacy,Institution,2689974.0
16860,Dexacilin Triline,June,2020,Pharmacy,Retail,2687973.0
22356,Halcifergen Nevazone,June,2018,Pharmacy,Retail,2684510.0
4047,Afretosine,February,2019,Hospital,Private,2675692.0
44079,Victomine,October,2018,Hospital,Government,2674065.0
42859,Trazobalamin,July,2017,Hospital,Private,2672334.0
6251,Alimmethate Insudase,October,2018,Pharmacy,Institution,2671968.0
37854,Solasteride,April,2019,Pharmacy,Institution,2669160.0
40032,Temasone Thiobucil,June,2018,Hospital,Private,2668834.0
12698,Cephovelam,May,2018,Hospital,Private,2664472.0
12872,Cephozumab Synmethate,March,2018,Pharmacy,Institution,2664192.0
6845,Alpharolac,September,2019,Pharmacy,Retail,2654340.0
41061,Thalilamide,September,2018,Hospital,Government,2639580.0
9942,Araxetine,December,2020,Pharmacy,Retail,2639250.0
25993,Kinenadryl,March,2020,Hospital,Government,2638468.0
25392,Ionclotide,July,2020,Hospital,Private,2638211.0
16053,Dantolac Pazocor,January,2017,Pharmacy,Retail,2635680.0
6751,Alpharolac,July,2020,Hospital,Government,2630355.0
4589,Aggretisol,August,2019,Pharmacy,Institution,2627860.0
31097,Novakyn Tracprox,July,2018,Pharmacy,Retail,2624544.0
25445,Ionclotide,November,2017,Pharmacy,Retail,2621174.0
8087,Ampinonide,June,2018,Hospital,Government,2618632.0
1658,Aclonuma,May,2018,Pharmacy,Retail,2617428.0
