,Product Name,Year,Month,Sales
2941,Betanem,2018,August,10785372.0
11474,Zyvance,2017,December,10416750.0
2597,Arivac,2017,July,10361925.0
1552,Alimmethate Insudase,2018,January,10319088.0
4297,Dexmebital Acanplan,2019,August,10135740.0
2129,Androporin,2018,July,10103788.0
8195,Pentastrin,2019,September,10097549.0
5966,Imiderm Vibranovate,2018,December,10086570.0
2929,Betanem,2017,August,10047284.0
7601,Microroban Afatigomar,2018,July,9981118.0
4469,Diprolimus,2017,July,9878069.5089
4019,Dantocept Ferurenone,2019,September,9761679.0
10545,Topifribrate,2019,November,9754668.0
3220,Cephozumab Synmethate,2017,January,9732864.0
4177,Decidenu Galantrigine,2017,August,9660070.0
3955,Cyclovital,2018,March,9463783.0
8302,Presetron,2020,October,9452592.0
7694,Neuropogen Empibax,2018,December,9407750.0
5691,Halciramine,2019,February,9360374.0
10174,Tesnorphine Silotamine,2020,October,9314162.0
8707,Pulmogen Alitora,2018,March,9186106.0
4653,Dorzovorin Pentadarone,2020,November,9155136.0
7895,Oxymotroban Fexoformin,2018,September,9062446.0
11387,Zonixamine Immulinum,2017,September,9058604.0
7698,Neuropogen Empibax,2018,June,9017525.0
7146,Lovephilus,2020,June,8995974.0
10197,Testant,2018,November,8753744.0
4607,Docstryl Rivacin,2020,September,8746065.0
777,Adriafinil Ehtymara,2017,November,8732270.0
7177,Lovepion,2019,August,8554400.0
1653,Allomenda,2018,November,8522013.0
5299,Fentatrol Rapatelase,2018,March,8501854.0
1478,Algluconium Dorzofoxin,2020,December,8487401.0
2272,Antilamin Clinbital,2018,January,8475296.0
204,Abtasol,2018,April,8410116.0
4007,Dantocept Ferurenone,2018,September,8368513.0
6690,Kiovax Tercorolac,2018,June,8309498.0
2507,Araxetine,2017,September,8276850.0
8556,Propratecan,2018,April,8053056.0
640,Adideine,2018,January,7953618.0
4565,Docstryl Rivacin,2017,July,7935762.0
7619,Microroban Afatigomar,2019,September,7929542.0
9770,Sumanazole,2019,December,7928652.0
1538,Alimmethate Insudase,2017,December,7914192.0
3377,Choriotrisin,2018,July,7884531.0
7636,Morphizolid Tianalin,2017,January,7865200.0
10524,Topifribrate,2018,April,7822737.0
7429,Megenorphine,2020,August,7571268.0
7742,Nevanide Actozide,2018,December,7569989.0
5557,Fosinofen,2020,August,7507885.0
4125,Darlofen,2020,November,7481382.0
10868,Trazozaprine,2018,May,7475772.0
2471,Aquamycin Lacoran,2018,September,7449240.0
5835,Hydroxyprosyn,2019,February,7264840.0
6546,Kinenadryl,2018,June,7228808.0
4563,Docstryl Rivacin,2017,February,7221717.0
5785,Hepavice,2019,August,7206080.0
9040,Relenvice,2018,January,7120008.0
9435,Sevoderm,2019,February,7084155.0
10343,Thalilamide,2018,September,6982095.0
2944,Betanem,2018,January,6947070.0
2516,Araxetine,2018,May,6877800.0
2256,Antilamin Clinbital,2017,April,6849824.0
6975,Liomulin,2018,February,6848730.0
2961,Betanem,2019,November,6794931.0
7686,Neuropogen Empibax,2017,June,6783260.0
1459,Algluconium Dorzofoxin,2018,March,6769269.0
6645,Kinovatol,2018,November,6768040.0
9562,Solasteride,2017,October,6747000.0
7314,Malavirine Alimdine,2018,June,6702046.0
11353,Zonitonin,2019,August,6679610.0
10194,Testant,2018,June,6610448.0
8521,Propralamide Dexlanzolam,2019,August,6593042.0
9381,Secrelazine Insonamic,2018,November,6518742.0
6119,Insozyme,2018,September,6491050.0
6319,Interzide,2019,March,6475140.0
7761,Nevanide Actozide,2019,November,6455323.0
7715,Neuropogen Empibax,2019,September,6453535.0
6410,Ionclotide,2019,December,6446927.0
5453,Flutacerol,2019,July,6437545.0
4913,Eproline,2018,July,6394440.0
4675,Doxivorin,2018,March,6359700.0
6509,Ketastadil,2019,July,6343582.0
5757,Hemavate Spirolinum,2020,November,6341160.0
10678,Tracdomide,2018,October,6335976.0
6493,Ketastadil,2018,August,6330611.0
4086,Darlofen,2017,June,6315842.0
9558,Solasteride,2017,June,6309680.0
6397,Ionclotide,2018,August,6277819.0
1398,Alemtuvatol Megalinum,2017,June,6251212.0
10748,Travoloride,2020,May,6206210.0
10387,Theopril,2018,March,6183936.0
4598,Docstryl Rivacin,2020,December,6154989.0
10714,Travoloride,2017,October,6135560.0
920,Afinitasol,2017,May,6114680.0
9946,Symdocet,2017,October,6103890.0
5107,Exotropin Empizine,2018,March,6048425.0
2781,Atomorelin,2020,November,5996220.0
809,Adriafinil Ehtymara,2020,July,5974880.0
2738,Atomorelin,2017,December,5969580.0
10214,Testant,2020,December,5966776.0
6691,Kiovax Tercorolac,2018,March,5964442.0
514,Acycnafine Microvate,2019,October,5959506.0
819,Adtiza Gammaluble,2017,February,5926624.0
4577,Docstryl Rivacin,2018,July,5919078.0
2178,Angioparin Brimosumab,2018,June,5917714.0
3813,Cordamectin Actolamin,2018,November,5916407.0
451,Acubulin,2018,March,5901560.0
7483,Menogine,2020,March,5887770.0
4599,Docstryl Rivacin,2020,February,5833866.0
3401,Choriotrisin,2020,July,5795937.0
219,Abtasol,2019,February,5780918.0
9049,Relenvice,2019,August,5767335.0
4056,Dantolac Pazocor,2019,April,5764972.0
4842,Effigine Propraprex,2020,June,5756790.0
4757,Effidomide Evofribrate,2017,July,5751576.0
10255,Tetalamide,2019,March,5744370.0
2337,Aprerase,2019,November,5741934.0
7459,Menogine,2018,March,5706722.0
10307,Tetratanyl,2019,September,5706337.0
8030,Paronium Atracustone,2018,December,5690016.0
2453,Aquamycin Lacoran,2017,July,5670420.0
2412,Apronazol,2018,April,5663528.0
581,Adalatamine,2017,July,5654868.0
2425,Apronazol,2019,August,5650312.0
5447,Flutacerol,2018,September,5556210.0
6799,Lactubucil,2019,March,5527665.0
9910,Symbitrim,2018,October,5520800.0
10677,Tracdomide,2018,November,5518360.0
7991,Panpion,2018,September,5499324.0
9490,Sevotrana Tiafoxin,2019,October,5494240.0
11490,Zyvance,2018,June,5492615.0
7721,Neuropogen Empibax,2020,July,5484325.0
4198,Decidenu Galantrigine,2018,October,5482870.0
7728,Nevanide Actozide,2017,April,5464337.0
7348,Malaxolol Aeroprosyn,2017,January,5438668.0
10862,Trazozaprine,2018,December,5428236.0
2511,Araxetine,2018,February,5401350.0
5425,Flutacerol,2017,August,5399760.0
4375,Diaxolol,2017,March,5392485.0
10534,Topifribrate,2018,October,5377239.0
7548,Methiclotide,2018,April,5359974.0
7561,Methiclotide,2019,August,5356768.0
10225,Tetalamide,2017,August,5304480.0
3147,Ceftatana Serolamide,2019,February,5299665.0
8513,Propralamide Dexlanzolam,2018,July,5294140.0
8744,Quiniprosyn,2017,May,5241655.0
145,Abranatal Lysoprosate,2017,August,5232123.0
11497,Zyvance,2019,August,5219357.0
1414,Alemtuvatol Megalinum,2018,October,5211844.0
9470,Sevotrana Tiafoxin,2018,December,5205820.0
6598,Kinerinex,2018,October,5202527.0
1217,Alarudin Azarolac,2018,July,5192586.0
10831,Trazobalamin,2019,March,5191506.0
4725,Duraprazole Agalsixolol,2018,November,5185125.0
11071,Victomax,2019,March,5167785.0
9057,Relenvice,2019,November,5127489.0
2171,Angioparin Brimosumab,2017,September,5119774.0
1848,Amavirase,2019,April,5117396.0
1794,Amamadin,2018,June,5113636.0
2141,Androporin,2019,July,5100660.0
208,Abtasol,2018,January,5091008.0
3238,Cephozumab Synmethate,2018,October,5089536.0
10388,Theopril,2018,May,5085696.0
3943,Cyclovital,2017,March,5036880.0
8559,Propratecan,2018,February,5035888.0
7645,Morphizolid Tianalin,2018,August,5032986.0
4130,Dasagestin,2017,December,5027264.0
1563,Alimmethate Insudase,2019,February,5010720.0
6566,Kinenadryl,2020,December,4981340.0
5437,Flutacerol,2018,August,4979580.0
233,Abtasol,2020,July,4975646.0
2274,Antilamin Clinbital,2018,June,4965392.0
9042,Relenvice,2018,June,4941135.0
7521,Metapatch,2019,November,4912608.0
7806,Nisorase,2019,June,4909749.0
2933,Betanem,2017,July,4898387.0
6403,Ionclotide,2018,March,4883309.0
4501,Diprolimus,2020,August,4870388.0
7183,Lovepion,2019,March,4865536.0
5014,Ergomethate,2018,October,4850120.0
2278,Antilamin Clinbital,2018,October,4847200.0
10745,Travoloride,2020,July,4846590.0
32,Abatatriptan,2019,May,4843034.0
9391,Secrelazine Insonamic,2019,March,4830934.0
1739,Alpradipine,2017,September,4814455.0
11061,Victomax,2018,November,4808937.0
3135,Ceftatana Serolamide,2018,February,4798675.0
7725,Neuropogen Empibax,2020,November,4787365.0
2287,Antilamin Clinbital,2019,March,4776816.0
4962,Epzipitant,2018,June,4773808.0
10659,Tracdomide,2017,February,4767600.0
9751,Sumanazole,2017,March,4766290.0
6865,Lansostral Acgestin,2017,August,4762065.0
5455,Flutacerol,2019,March,4757570.0
3131,Ceftatana Serolamide,2017,September,4745125.0
4983,Epzipitant,2020,February,4726350.0
10362,Thalilamide,2020,June,4722585.0
7565,Methiclotide,2019,July,4713736.0
5990,Imiderm Vibranovate,2020,December,4711200.0
3188,Cephovelam,2018,May,4698598.0
10729,Travoloride,2019,August,4698225.0
2313,Aprerase,2017,November,4693590.0
2766,Atomorelin,2019,June,4680315.0
10810,Trazobalamin,2017,October,4679442.0
230,Abtasol,2020,December,4671784.0
179,Abranatal Lysoprosate,2019,September,4670298.0
7475,Menogine,2019,September,4656050.0
11391,Zonixamine Immulinum,2018,February,4648800.0
11077,Victomax,2020,August,4646957.0
7916,Oxymotroban Fexoformin,2020,May,4643204.0
6610,Kinerinex,2019,October,4624109.0
4706,Duraprazole Agalsixolol,2017,December,4614750.0
7593,Microroban Afatigomar,2017,November,4605052.0
6383,Invisteride Diclomycin,2020,September,4591416.0
2763,Atomorelin,2019,February,4580415.0
6455,Ketamara Evogel,2018,September,4573888.0
5255,Fentalac,2018,September,4553424.0
2300,Antilamin Clinbital,2020,May,4543752.0
521,Acycnafine Microvate,2020,July,4527698.0
6098,Insozyme,2017,December,4520155.0
7247,Magnemunex,2020,September,4511572.0
10813,Trazobalamin,2018,August,4504944.0
10697,Tracdomide,2020,July,4491956.0
6445,Ketamara Evogel,2018,August,4488704.0
10704,Travoloride,2017,April,4479995.0
4463,Diazemid Felcept,2020,September,4474287.0
1462,Algluconium Dorzofoxin,2018,October,4468243.0
7126,Lovephilus,2018,October,4463940.0
787,Adriafinil Ehtymara,2018,March,4461900.0
10769,Travosoline Capolac,2018,July,4454220.0
4097,Darlofen,2018,July,4450401.0
2259,Antilamin Clinbital,2017,February,4449464.0
4085,Darlofen,2017,July,4439438.0
7487,Menogine,2020,September,4414158.0
6826,Lansopril Acribax,2017,October,4411272.0
10751,Travoloride,2020,September,4408560.0
3713,Cogxone Levanide,2018,July,4407550.0
2621,Arivac,2019,July,4407291.0
1546,Alimmethate Insudase,2017,October,4401696.0
9135,Ribabyclor,2018,February,4389840.0
3962,Cyclovital,2019,December,4389668.0
10881,Trazozaprine,2019,November,4384644.0
4148,Dasagestin,2018,May,4367590.0
3697,Cogxone Levanide,2017,August,4360902.0
7205,Magnemunex,2017,July,4357236.0
8578,Propratecan,2019,October,4341612.0
9622,Spiroderall,2018,October,4339185.0
4178,Decidenu Galantrigine,2017,December,4335320.0
9752,Sumanazole,2017,May,4333568.0
8668,Pulmofine,2019,January,4319952.0
7586,Microroban Afatigomar,2017,December,4319208.0
10746,Travoloride,2020,June,4314360.0
5241,Fentalac,2017,November,4313022.0
311,Acelimus,2018,September,4293976.0
1735,Alpradipine,2017,March,4286685.0
4603,Docstryl Rivacin,2020,March,4271646.0
11110,Victomine,2018,October,4270890.0
2566,Argalazine Abostryl,2018,October,4269144.0
357,Aciprex,2018,November,4249995.0
434,Acubulin,2017,December,4243400.0
10546,Topifribrate,2019,October,4232115.0
3277,Ceretosine,2018,August,4226789.0
8684,Pulmofine,2020,May,4225008.0
7885,Oxymotroban Fexoformin,2018,August,4224134.0
4982,Epzipitant,2020,December,4222206.0
925,Afinitasol,2018,August,4206202.0
650,Adideine,2019,December,4198854.0
2168,Angioparin Brimosumab,2017,May,4191572.0
8714,Pulmogen Alitora,2019,December,4175738.0
5718,Hemavate Spirolinum,2017,June,4168920.0
3996,Dantocept Ferurenone,2018,April,4168753.0
6080,Immurenol Temarate,2019,May,4166856.0
10384,Theopril,2018,January,4161024.0
4437,Diazemid Felcept,2018,November,4156140.0
499,Acycnafine Microvate,2018,March,4155928.0
7762,Nevanide Actozide,2019,October,4153329.0
3506,Claripenem,2017,December,4152512.0
3734,Cogxone Levanide,2020,December,4140010.0
3134,Ceftatana Serolamide,2018,December,4135250.0
599,Adalatamine,2018,September,4130388.0
1442,Algluconium Dorzofoxin,2017,December,4124861.0
1558,Alimmethate Insudase,2018,October,4124016.0
7633,Morphizolid Tianalin,2017,August,4123294.0
2630,Arivac,2020,December,4122657.0
5703,Halciramine,2020,February,4112904.0
9419,Sevoderm,2017,September,4103970.0
9898,Symbitrim,2017,October,4099864.0
5693,Halciramine,2019,July,4096135.0
2950,Betanem,2018,October,4088201.0
5253,Fentalac,2018,November,4088070.0
7169,Lovepion,2018,July,4080544.0
330,Acelimus,2020,June,4067192.0
2560,Argalazine Abostryl,2018,January,4065672.0
3537,Claripenem,2019,November,4062912.0
1572,Alimmethate Insudase,2020,April,4046016.0
390,Aclonuma,2017,June,4033266.0
3123,Ceftatana Serolamide,2017,February,4030530.0
9574,Solasteride,2018,October,4026360.0
3968,Cyclovital,2019,May,4017633.202429
7878,Oxymotroban Fexoformin,2017,June,4007958.0
2478,Aquamycin Lacoran,2019,June,4005795.0
7750,Nevanide Actozide,2018,October,4002594.0
10333,Thalilamide,2018,August,3999345.0
207,Abtasol,2018,February,3998462.0
5657,Halcifergen Nevazone,2020,July,3996590.0
7533,Metapatch,2020,November,3986676.0
7211,Magnemunex,2017,September,3982420.0
11480,Zyvance,2017,May,3980006.0
5258,Fentalac,2019,December,3979302.0
6694,Kiovax Tercorolac,2018,October,3976776.0
3247,Cephozumab Synmethate,2019,March,3968256.0
10811,Trazobalamin,2017,September,3954780.0
7311,Malavirine Alimdine,2018,February,3951584.0
11177,Xenaderal,2020,July,3948456.0
9393,Secrelazine Insonamic,2019,November,3939144.0
1853,Amavirase,2019,July,3936421.0
5302,Fentatrol Rapatelase,2018,October,3921854.0
6402,Ionclotide,2018,June,3907783.0
8549,Propratecan,2017,July,3905814.0
8844,Ranediol,2018,April,3902532.0
31,Abatatriptan,2019,March,3898468.0
10147,Tesnorphine Silotamine,2018,March,3895309.0
10687,Tracdomide,2019,March,3894088.0
9836,Symbiroban,2020,May,3893020.0
1802,Amamadin,2019,December,3891554.0
7458,Menogine,2018,June,3888822.0
9757,Sumanazole,2018,August,3880215.0
1663,Allomenda,2019,March,3879442.0
7123,Lovephilus,2018,March,3873210.0
10853,Trazozaprine,2017,July,3862140.0
4389,Diaxolol,2018,November,3859425.0
9378,Secrelazine Insonamic,2018,June,3844066.0
7583,Methiclotide,2020,September,3843078.0
2691,Aspinavir Silovance,2017,February,3836961.0
8735,Pulmogen Alitora,2020,September,3835416.0
1821,Amamadin,2020,November,3833801.0
6674,Kiovax Tercorolac,2017,December,3828766.0
637,Adideine,2018,August,3817140.0
3347,Choriogestrel,2019,September,3813530.0
5110,Exotropin Empizine,2018,October,3806465.0
6392,Ionclotide,2017,May,3804299.0
768,Adriafinil Ehtymara,2017,April,3798500.0
594,Adalatamine,2018,June,3784998.0
7467,Menogine,2019,February,3784942.0
6499,Ketastadil,2018,March,3781428.0
10809,Trazobalamin,2017,November,3773424.0
3231,Cephozumab Synmethate,2018,February,3770112.0
1423,Alemtuvatol Megalinum,2019,March,3760548.0
10859,Trazozaprine,2017,September,3746736.0
215,Abtasol,2018,September,3745118.0
7014,Lovapur,2017,June,3744045.0
4219,Decidenu Galantrigine,2020,March,3742370.0
4938,Eproline,2020,June,3740880.0
7221,Magnemunex,2018,November,3737825.0
9621,Spiroderall,2018,November,3732548.0
7596,Microroban Afatigomar,2018,April,3731746.0
6872,Lansostral Acgestin,2017,May,3715602.0
3726,Cogxone Levanide,2019,June,3714690.0
4765,Effidomide Evofribrate,2018,August,3710556.0
1581,Alimmethate Insudase,2020,November,3709680.0
11136,Xenaderal,2017,April,3704321.0
19,Abatatriptan,2018,March,3699612.0
8864,Ranediol,2019,May,3695616.0
8006,Panpion,2020,December,3693896.0
4466,Diprolimus,2017,December,3693050.0
7735,Nevanide Actozide,2017,March,3691075.0
1797,Amamadin,2018,November,3674802.0
10098,Temasone Thiobucil,2018,June,3673804.0
2294,Antilamin Clinbital,2020,December,3667272.0
1793,Amamadin,2018,July,3666246.0
8699,Pulmogen Alitora,2017,September,3665902.0
10884,Trazozaprine,2020,April,3664608.0
9243,Rositroban,2019,February,3662334.0
3701,Cogxone Levanide,2017,July,3661182.0
10793,Travosoline Capolac,2020,July,3659390.0
1207,Alarudin Azarolac,2017,March,3656016.0
4569,Docstryl Rivacin,2017,November,3652281.0
6745,Lacoplex Hyaluvance,2019,August,3649618.0
10285,Tetratanyl,2018,August,3643430.0
8206,Pentastrin,2020,October,3634064.0
7841,Novakyn Tracprox,2018,July,3631680.0
2615,Arivac,2018,September,3631635.0
5115,Exotropin Empizine,2019,February,3629840.0
1718,Alpharolac,2020,December,3627598.0
10847,Trazobalamin,2020,September,3625596.0
7455,Menogine,2018,February,3624670.0
7025,Lovapur,2018,July,3624478.0
6389,Ionclotide,2017,July,3624464.0
6563,Kinenadryl,2019,September,3620660.0
9619,Spiroderall,2018,March,3609784.0
10630,Topitaine,2018,October,3608660.0
10158,Tesnorphine Silotamine,2019,June,3607252.0
9575,Solasteride,2018,September,3598400.0
10517,Topifribrate,2017,July,3593727.0
7327,Malavirine Alimdine,2019,March,3593395.0
5532,Fosinofen,2018,April,3592820.0
2782,Atomorelin,2020,October,3585855.0
9615,Spiroderall,2018,February,3583011.0
5650,Halcifergen Nevazone,2019,October,3579820.0
11067,Victomax,2019,February,3578512.0
4491,Diprolimus,2019,February,3566250.0
6571,Kinenadryl,2020,March,3558100.0
547,Acycpex,2018,March,3557250.0
9385,Secrelazine Insonamic,2019,August,3553974.0
4953,Epzipitant,2017,November,3552348.0
7486,Menogine,2020,October,3548986.0
4945,Epzipitant,2017,August,3545346.0
7343,Malavirine Alimdine,2020,September,3545074.0
2241,Antaparin Varizyme,2019,November,3544830.0
2705,Aspinavir Silovance,2018,July,3534462.0
10114,Temasone Thiobucil,2019,October,3529686.0
5127,Exotropin Empizine,2020,February,3527005.0
7297,Malavirine Alimdine,2017,August,3525899.0
6488,Ketastadil,2017,May,3525823.0
6390,Ionclotide,2017,June,3517825.0
355,Aciprex,2018,March,3514929.0
785,Adriafinil Ehtymara,2018,July,3507460.0
5215,Factolamide,2019,March,3505890.0
11073,Victomax,2019,November,3503752.0
9857,Symbisine Prednimadin,2018,July,3502080.0
7174,Lovepion,2018,October,3494656.0
1918,Amcibax Amcikeran,2020,October,3491136.0
5439,Flutacerol,2018,February,3490325.0
9059,Relenvice,2019,September,3483810.0
8663,Pulmofine,2018,September,3481968.0
1701,Alpharolac,2018,November,3478358.0
5008,Ergomethate,2018,January,3473604.0
11072,Victomax,2019,May,3469487.0
3957,Cyclovital,2018,November,3468271.0
2134,Androporin,2018,October,3464363.0
9956,Symdocet,2018,May,3461550.0
4266,Dexacilin Triline,2020,June,3461199.0
3378,Choriotrisin,2018,June,3457350.0
210,Abtasol,2018,June,3452566.0
10072,Tacrodomide,2020,January,3448620.0
2694,Aspinavir Silovance,2017,June,3447171.0
2780,Atomorelin,2020,May,3446550.0
5634,Halcifergen Nevazone,2018,June,3443500.0
10619,Topitaine,2017,September,3433914.0
1667,Allomenda,2019,September,3433837.0
2702,Aspinavir Silovance,2018,December,3432897.0
10626,Topitaine,2018,June,3431846.0
8876,Ranediol,2020,May,3428951.0
6487,Ketastadil,2017,March,3428159.0
11122,Victomine,2019,October,3424185.0
3395,Choriotrisin,2019,September,3418935.0
9618,Spiroderall,2018,June,3412578.0
10600,Topipizole,2020,January,3393696.0
4591,Docstryl Rivacin,2019,March,3391911.0
6783,Lactubucil,2018,February,3390075.0
9602,Spiroderall,2017,December,3386458.0
4494,Diprolimus,2019,June,3381756.0
2534,Araxetine,2020,December,3379500.0
1017,Afretosine,2017,November,3376632.0
7702,Neuropogen Empibax,2018,October,3375900.0
9427,Sevoderm,2018,March,3375333.0
4910,Eproline,2018,December,3371940.0
7563,Methiclotide,2019,February,3361262.0
11113,Victomine,2019,August,3360735.0
11328,Zonitonin,2017,April,3360266.0
9903,Symbitrim,2018,February,3351608.0
5275,Fentalac,2020,March,3351414.0
6123,Insozyme,2019,February,3350980.0
3080,Brimorix Amonine,2017,May,3349568.0
3512,Claripenem,2017,May,3347456.0
5239,Fentalac,2017,March,3343380.0
4036,Dantolac Pazocor,2017,January,3338528.0
5251,Fentalac,2018,March,3337818.0
8581,Propratecan,2020,August,3337026.0
10796,Travosoline Capolac,2020,May,3334260.0
931,Afinitasol,2018,March,3333902.0
10102,Temasone Thiobucil,2018,October,3331102.0
10819,Trazobalamin,2018,March,3327654.0
10644,Topitaine,2020,April,3326378.0
10799,Travosoline Capolac,2020,September,3325110.0
4991,Epzipitant,2020,September,3316614.0
2616,Arivac,2019,April,3312414.0
7737,Nevanide Actozide,2017,November,3310759.0
7195,Lovepion,2020,March,3306432.0
1816,Amamadin,2020,January,3304042.0
7663,Morphizolid Tianalin,2019,March,3300416.0
6503,Ketastadil,2018,September,3298449.0
1035,Afretosine,2019,February,3297448.0
11114,Victomine,2019,December,3291645.0
7464,Menogine,2019,April,3284834.0
3227,Cephozumab Synmethate,2017,September,3284736.0
4438,Diazemid Felcept,2018,October,3282002.0
5687,Halciramine,2018,September,3277726.0
8771,Quiniprosyn,2019,September,3270750.0
7106,Lovephilus,2017,December,3269676.0
1795,Amamadin,2018,March,3269105.0
9373,Secrelazine Insonamic,2018,August,3266658.0
9779,Sumanazole,2019,September,3266575.0
2339,Aprerase,2019,September,3266274.0
7574,Methiclotide,2020,December,3263250.0
7710,Neuropogen Empibax,2019,June,3259740.0
6110,Insozyme,2018,December,3258625.0
10641,Topitaine,2019,November,3257100.0
9413,Sevoderm,2017,July,3253341.0
4916,Eproline,2018,May,3250260.0
7005,Liomulin,2020,November,3250170.0
4769,Effidomide Evofribrate,2018,July,3247884.0
2374,Apromin,2018,October,3247125.0
3971,Cyclovital,2019,September,3246215.0
7908,Oxymotroban Fexoformin,2020,April,3244014.0
3507,Claripenem,2017,February,3243520.0
6801,Lactubucil,2019,November,3242655.0
5914,Ibrulinum,2017,October,3240640.0
621,Adalatamine,2020,November,3239520.0
10356,Thalilamide,2020,April,3238590.0
1685,Alpharolac,2017,July,3237442.0
2179,Angioparin Brimosumab,2018,March,3234726.0
10886,Trazozaprine,2020,December,3232728.0
2299,Antilamin Clinbital,2020,March,3228368.0
7670,Morphizolid Tianalin,2020,December,3218796.0
2343,Aprerase,2020,February,3218358.0
10681,Tracdomide,2019,August,3216760.0
2366,Apromin,2018,December,3216000.0
6393,Ionclotide,2017,November,3214314.0
8774,Quiniprosyn,2020,December,3214235.0
503,Acycnafine Microvate,2018,September,3213014.0
1447,Algluconium Dorzofoxin,2017,March,3212027.0
3715,Cogxone Levanide,2018,March,3201562.0
5445,Flutacerol,2018,November,3197540.0
71,Abilovir Aprotasol,2018,September,3196527.0
1272,Albudazole Erobloc,2019,April,3195025.0
3703,Cogxone Levanide,2017,March,3188528.0
404,Aclonuma,2018,May,3184806.0
7484,Menogine,2020,May,3183922.0
11098,Victomine,2017,October,3180255.0
631,Adideine,2017,March,3179820.0
7035,Lovapur,2019,February,3163291.0
7312,Malavirine Alimdine,2018,January,3161574.0
9631,Spiroderall,2019,March,3153990.0
6586,Kinerinex,2017,October,3149596.0
7208,Magnemunex,2017,May,3146663.0
5099,Exotropin Empizine,2017,September,3146280.0
3239,Cephozumab Synmethate,2018,September,3144192.0
4927,Eproline,2019,March,3143400.0
470,Acubulin,2020,December,3141880.0
8850,Ranediol,2018,June,3141033.0
10805,Trazobalamin,2017,July,3139440.0
6033,Imiformin Transmunex,2019,November,3138000.0
2130,Androporin,2018,June,3134863.0
6874,Lansostral Acgestin,2017,October,3131238.0
5442,Flutacerol,2018,June,3130490.0
3339,Choriogestrel,2019,February,3129940.0
10403,Theopril,2019,September,3124992.0
4447,Diazemid Felcept,2019,March,3114653.0
5464,Flutacerol,2020,January,3110375.0
6134,Insozyme,2020,December,3106665.0
3375,Choriotrisin,2018,February,3104523.0
7751,Nevanide Actozide,2018,September,3102049.0
7299,Malavirine Alimdine,2017,February,3100981.0
7241,Magnemunex,2020,July,3098433.0
1177,Aggretisol,2019,August,3096840.0
10295,Tetratanyl,2018,September,3095127.0
41,Abatatriptan,2020,July,3093398.0
8672,Pulmofine,2019,May,3093248.0
3709,Cogxone Levanide,2018,August,3088372.0
4475,Diprolimus,2017,September,3088214.0
2963,Betanem,2019,September,3084328.0
3139,Ceftatana Serolamide,2018,March,3082695.0
10346,Thalilamide,2019,December,3078075.0
9429,Sevoderm,2018,November,3076983.0
1721,Alpharolac,2020,July,3073811.0
9596,Solasteride,2020,May,3071120.0
1229,Alarudin Azarolac,2019,July,3056697.0
753,Adriacaine,2019,November,3052977.0
6444,Ketamara Evogel,2018,April,3050432.0
6432,Ketamara Evogel,2017,April,3049024.0
9441,Sevoderm,2019,November,3048474.0
4985,Epzipitant,2020,July,3038090.0
5130,Exotropin Empizine,2020,June,3032455.0
6463,Ketamara Evogel,2019,March,3030720.0
585,Adalatamine,2017,November,3029904.0
