,Product Class,City,Customer Name,Sales
3684,Antiseptics,Wedel,Raynor-Graham ,8533225.0
2870,Antipiretics,Springe,Hayes-Kilback Pharmaceutical Limited,8527330.0
4379,Mood Stabilizers,Staßfurt,McDermott Inc Pharma Plc,8461683.0
2973,Antipiretics,Würselen,Kozey-Emmerich ,8454569.0
2334,Antipiretics,Braunschweig,"Heathcote, Grant and Witting Pharmacy",8448407.0
1386,Antibiotics,Sundern,Cummings LLC Pharmaceutical Ltd,8447042.0
3380,Antiseptics,Leinfelden-Echterdingen,Rogahn-Klein Pharma Plc,8421755.0
2897,Antipiretics,Teltow,Barrows Inc Pharmacy,8420197.0
1421,Antibiotics,Waiblingen,"Koch, Borer and Hagenes Pharm",8320371.0
775,Antibiotics,Bad Dürkheim,"Funk, Ratke and Heaney ",8282614.0
1637,Antimalarial,Derne,Hill-Daniel ,8281407.0
2900,Antipiretics,Traunstein,Schuppe Inc Pharm,8280505.0
2864,Antipiretics,Sondershausen,Marquardt-Ryan Pharma Plc,8242774.0
0,Analgesics,Aachen,Medhurst-Beer ,8233608.0
167,Analgesics,Erfurt,Schulist-Zulauf ,8231475.0
347,Analgesics,Kreuztal,Kutch-Marks Pharmaceutical Limited,8174936.0
216,Analgesics,Gevelsberg,Hermiston LLC Pharmaceutical Limited,8111830.7652
3387,Antiseptics,Limburg,"Torphy, Pfeffer and Jakubowski Pharm",8057110.0
659,Analgesics,Unterschleißheim,"Romaguera, Moen and Hagenes Pharm",8043536.0
2297,Antipiretics,Baunatal,"Buckridge, Dach and Carroll Pharmaceutical Ltd",8016690.0
1574,Antimalarial,Bochum,Sauer-Herzog Pharmaceutical Limited,8006526.0
884,Antibiotics,Delitzsch,VonRueden-Adams Pharm,7980094.0
1526,Antimalarial,Bad Dürkheim,"Funk, Ratke and Heaney ",7958637.0
419,Analgesics,Melle,Abernathy Group Pharmacy,7955275.0
1238,Antibiotics,Olpe,Schaefer Group ,7944231.0
454,Analgesics,Neumünster,Hill-Daniel Pharmaceutical Ltd,7917362.0
3187,Antiseptics,Forchheim,Buckridge-Davis Pharmaceutical Limited,7844139.0
3378,Antiseptics,Leichlingen,Durgan-Rice Pharmaceutical Ltd,7796885.0
449,Analgesics,Neu Isenburg,Daugherty-Rempel Pharm,7780597.0
421,Analgesics,Meppen,Rutherford and Sons Pharm,7756136.0
3456,Antiseptics,Neuburg,"Casper, Hyatt and Jakubowski Pharmaceutical Ltd",7746097.0
3768,Mood Stabilizers,Andernach,Stanton-Cole Pharma Plc,7731921.0
3897,Mood Stabilizers,Ditzingen,Fadel-West Pharmacy,7697787.0
3531,Antiseptics,Prenzlau,Rohan and Sons Pharma Plc,7674042.0
3350,Antiseptics,Krefeld,Sipes and Sons Pharmaceutical Limited,7649096.0
2871,Antipiretics,Sprockhövel,Powlowski-Buckridge ,7645029.0
2325,Antipiretics,Bochum,Sauer-Herzog Pharmaceutical Limited,7643556.0
3949,Mood Stabilizers,Friedberg,Funk and Sons Pharmacy,7642863.0
3446,Antiseptics,Mülheim,Fritsch LLC Pharmaceutical Ltd,7633793.0
104,Analgesics,Calw,Pfannerstill Group ,7609070.0
1662,Antimalarial,Elmshorn,"Reynolds, Jast and Mante Pharm",7545747.0
1677,Antimalarial,Esslingen,"Cormier, Dietrich and Zulauf Pharmaceutical Limited",7545081.0
3252,Antiseptics,Gütersloh,"Grimes, Jacobs and Durgan Pharma Plc",7504844.0
322,Analgesics,Kempen,"Wunsch, Mills and Walter Pharm",7479198.0
4355,Mood Stabilizers,Siegburg,Heller-Abernathy Pharmaceutical Limited,7463908.0
1259,Antibiotics,Peine,Huels-Klein ,7455702.0
2988,Antipiretics,Zwickau,Huel Inc Pharm,7424210.0
854,Antibiotics,Bünde,"Wintheiser, Breitenberg and Gottlieb ",7411535.0
2481,Antipiretics,Gotha,"Steuber, Hills and Botsford ",7406302.0
259,Analgesics,Hameln,Watsica-Kovacek Pharmacy,7388154.0
206,Analgesics,Geesthacht,"Corkery, Trantow and Ferry Pharma Plc",7374823.0
4320,Mood Stabilizers,Rudolstadt,Bayer LLC ,7366341.0
914,Antibiotics,Emsdetten,Mills Inc Pharmaceutical Ltd,7343303.0
2666,Antipiretics,Marktoberdorf,Kozey-Emmerich Pharmacy,7337294.0
1305,Antibiotics,Rheine,"Sanford, Franecki and Greenholt Pharmaceutical Ltd",7332221.0
1376,Antibiotics,Steinfurt,Wehner-Stehr ,7297617.0
4121,Mood Stabilizers,Landshut,"Hirthe, Williamson and Macejkovic Pharmacy",7277289.0
3323,Antiseptics,Kaufbeuren,Spencer-Jerde Pharmaceutical Limited,7273839.0
183,Analgesics,Forchheim,Buckridge-Davis Pharmaceutical Limited,7266373.0
4333,Mood Stabilizers,Sangerhausen,Gottlieb-Koss Pharmacy,7263980.0
4209,Mood Stabilizers,Neumünster,Hill-Daniel Pharmaceutical Ltd,7256531.0
562,Analgesics,Roth,Koss-Beier Pharmacy,7247909.0
719,Analgesics,Wuppertal,"Koelpin, Luettgen and Abernathy Pharmacy",7234529.0
4136,Mood Stabilizers,Leverkusen,Lemke Ltd Pharma Plc,7231437.0
3942,Mood Stabilizers,Frankfurt (Oder),"Parker, Green and Emmerich Pharmacy",7172276.0
4035,Mood Stabilizers,Herzogenrath,"Leuschke, Waters and Schowalter Pharma Plc",7164628.0
3796,Mood Stabilizers,Balingen,"Heathcote, Grant and Witting Pharmaceutical Limited",7161492.0
2544,Antipiretics,Höxter,Bosco-Marquardt Pharmaceutical Ltd,7142205.0
442,Analgesics,Mülheim,Fritsch LLC Pharmaceutical Ltd,7142016.0
2527,Antipiretics,Hennigsdorf,Leffler-Russel Pharmaceutical Limited,7141679.0
1735,Antimalarial,Griesheim,Kozey Ltd Pharma Plc,7095527.0
1547,Antimalarial,Bautzen,"Funk, Ratke and Heaney Pharma Plc",7089214.0
2838,Antipiretics,Schorndorf,"Herman, Rice and Rippin Pharmaceutical Limited",7059436.0
3970,Mood Stabilizers,Germersheim,Schaefer-Rolfson Pharmacy,7048587.0
3482,Antiseptics,Obertshausen,"Beer, Kohler and Beatty Pharmacy",7037809.0
405,Analgesics,Lünen,Gerlach PLC Pharmaceutical Ltd,6998408.0
4423,Mood Stabilizers,Villingen-Schwenningen,"Greenholt, Donnelly and O'Reilly Pharmaceutical Ltd",6992473.0
3139,Antiseptics,Derne,Hill-Daniel ,6980114.0
3321,Antiseptics,Kassel,Haley PLC Pharmacy,6949089.0
3661,Antiseptics,Ulm,Mann-Waelchi Pharma Plc,6926590.0
4083,Mood Stabilizers,Kirchheim unter Teck,Smith Inc Pharmacy,6909046.0
2617,Antipiretics,Landau,Trantow LLC Pharmacy,6907314.0
3545,Antiseptics,Ratingen,"Kilback, Beer and Batz ",6888387.0
481,Analgesics,Oelde,Harris-Conroy Pharm,6843331.0
2883,Antipiretics,Straubing,"Erdman, Senger and Oberbrunner Pharmacy",6810111.0
3169,Antiseptics,Erding,"Kuphal, Herzog and Purdy Pharmaceutical Limited",6797342.0
2443,Antipiretics,Freiburg im Breisgau,Abernathy and Sons ,6787016.0
3633,Antiseptics,Stralsund,Kozey Ltd Pharmacy,6764329.0
151,Analgesics,Düren,Stanton-Cole Pharmacy,6762562.0
46,Analgesics,Bayreuth,"Nitzsche, Effertz and Maggio ",6755678.0
61,Analgesics,Bielefeld,"Crist, Wisoky and Nolan Pharm",6746038.0
3998,Mood Stabilizers,Göppingen,Feest PLC Pharmaceutical Limited,6745721.0
4250,Mood Stabilizers,Ostfildern,"Rodriguez, Stokes and Dickens ",6740997.0
760,Antibiotics,Alsdorf,Wolff Group Pharmaceutical Ltd,6737514.0
4388,Mood Stabilizers,Stuttgart,"Zieme, Doyle and Kunze Pharm",6727296.0
3526,Antiseptics,Porta Westfalica,Turner Ltd ,6725056.0
696,Analgesics,Wetter (Ruhr),Marquardt PLC ,6713025.0
3320,Antiseptics,Karlsruhe,Dach Ltd Pharma Plc,6696885.0
1390,Antibiotics,Sömmerda,"Rodriguez, Stokes and Dickens Pharma Plc",6695577.0
4376,Mood Stabilizers,Starnberg,"Blanda, Stehr and Gleason Pharma Plc",6688578.0
197,Analgesics,Friedrichshafen,"Buckridge, Dach and Carroll ",6675689.0
2490,Antipiretics,Groß-Gerau,Okuneva-Corkery Pharm,6675202.0
3874,Mood Stabilizers,Coesfeld,Barrows-Kohler Pharma Plc,6647032.0
4111,Mood Stabilizers,Königsbrunn,Reilly Ltd Pharma Plc,6644314.0
139,Analgesics,Dillingen,"Pfannerstill, Upton and Balistreri Pharmacy",6637030.0
4287,Mood Stabilizers,Pulheim,Pfeffer-Hodkiewicz Pharm,6626059.0
1608,Antimalarial,Celle,Barton Ltd Pharmaceutical Limited,6622704.0
399,Analgesics,Löhne,Koss Ltd Pharmaceutical Ltd,6615314.316579999
3630,Antiseptics,Steinheim am Main,"Daniel, Baumbach and Nitzsche ",6601482.0
1214,Antibiotics,Niederkassel,Gleason PLC Pharmaceutical Limited,6581168.0
31,Analgesics,Bad Neuenahr-Ahrweiler,"Buckridge, Hand and Hyatt Pharmaceutical Ltd",6566062.0
76,Analgesics,Bornheim,Okuneva-Corkery Pharma Plc,6560214.0
759,Antibiotics,Albstadt,Powlowski-Buckridge Pharmacy,6556104.0
658,Analgesics,Unna,McKenzie-Zemlak Pharma Plc,6545524.0
2373,Antipiretics,Cologne,"Kuphal, D'Amore and Bode Pharm",6524954.0
4010,Mood Stabilizers,Halberstadt,Kris LLC Pharmacy,6514857.0
4023,Mood Stabilizers,Heidenheim,Hoeger Ltd ,6511584.0
732,Analgesics,Zittau,"Hills, Stroman and Ernser Pharmaceutical Ltd",6509783.0
1339,Antibiotics,Schwedt (Oder),Jacobs-Jones Pharma Plc,6503837.0
2806,Antipiretics,Rheinberg,Runolfsson-Halvorson Pharm,6489757.0
3180,Antiseptics,Ettlingen,"Fritsch, Hodkiewicz and Sipes Pharma Plc",6487954.0
3608,Antiseptics,Sigmaringen,Daugherty-Rempel Pharmaceutical Limited,6444102.0
3602,Antiseptics,Senftenberg,Buckridge Inc Pharmaceutical Limited,6440077.0
3278,Antiseptics,Hennigsdorf,Leffler-Russel Pharmaceutical Limited,6413238.0
3496,Antiseptics,Osnabrück,Walsh-Brown Pharma Plc,6411603.0
8,Analgesics,Albstadt,Powlowski-Buckridge Pharmacy,6411323.0
715,Analgesics,Worms,Leuschke PLC Pharmaceutical Ltd,6406979.0
3037,Antiseptics,Bad Oldesloe,"Prohaska, Bogisich and Gutkowski Pharm",6404267.0
4171,Mood Stabilizers,Meerbusch,Osinski-Botsford Pharm,6392816.0
2844,Antipiretics,Schwerin,Reinger Group Pharmaceutical Limited,6384445.0
633,Analgesics,Stuttgart,"Zieme, Doyle and Kunze Pharm",6383703.0
324,Analgesics,Kerpen,Nader-Borer Pharm,6369706.0
4269,Mood Stabilizers,Pinneberg,Yundt-Crona Pharm,6359434.0
460,Analgesics,Neustadt am Rübenberge,Schulist LLC Pharmaceutical Limited,6356514.778894
2674,Antipiretics,Meppen,Rutherford and Sons Pharm,6345606.0
294,Analgesics,Ibbenbüren,"Lebsack, Yost and Heller Pharma Plc",6342381.0
4305,Mood Stabilizers,Reutlingen,Botsford PLC ,6336700.0
2539,Antipiretics,Holzminden,Erdman PLC ,6321818.0
3941,Mood Stabilizers,Frankfurt,Corkery-Kovacek Pharma Plc,6314749.0
3763,Mood Stabilizers,Albstadt,Powlowski-Buckridge Pharmacy,6313285.0
3883,Mood Stabilizers,Darmstadt,"Towne, Cummerata and Blanda Pharmaceutical Ltd",6311319.0
162,Analgesics,Emmendingen,"Spinka, Schowalter and Conn Pharma Plc",6300076.0
4329,Mood Stabilizers,Salzgitter,Kreiger Inc Pharm,6296539.0
2707,Antipiretics,Neumünster,Hill-Daniel Pharmaceutical Ltd,6274670.0
800,Antibiotics,Bergheim,"Spinka, Schowalter and Conn ",6274546.0
2624,Antipiretics,Leer,Heidenreich Group Pharmacy,6270746.0
252,Analgesics,Haan,Cremin-Zemlak Pharma Plc,6260178.0
3407,Antiseptics,Lüdenscheid,Rosenbaum-Tromp Pharmacy,6243203.0
417,Analgesics,Meiningen,Friesen Group ,6242650.0
2267,Antipiretics,Annaberg-Buchholz,"Herman, Rice and Rippin Pharm",6234037.0
2485,Antipiretics,Grevenbroich,Torp-Fisher ,6209861.0
3294,Antiseptics,Husum,"Watsica, Larson and Labadie Pharma Plc",6201415.0
381,Analgesics,Leverkusen,Lemke Ltd Pharma Plc,6194137.0
3079,Antiseptics,Borken,"Kub, Von and Herzog Pharmaceutical Ltd",6191732.0
920,Antibiotics,Erkrath,Friesen Group Pharm,6190536.0
624,Analgesics,Staßfurt,McDermott Inc Pharma Plc,6140346.0
3450,Antiseptics,Naumburg,"Towne, Cummerata and Blanda Pharmaceutical Limited",6123477.0
4118,Mood Stabilizers,Lampertheim,Beier PLC Pharma Plc,6100614.0
128,Analgesics,Darmstadt,"Towne, Cummerata and Blanda Pharmaceutical Ltd",6096910.0
4411,Mood Stabilizers,Uelzen,Fahey-Flatley Pharmaceutical Ltd,6091498.0
367,Analgesics,Langen,Romaguera-Fay Pharmaceutical Ltd,6090849.0
3151,Antiseptics,Dreieich,Skiles-McKenzie Pharmacy,6088103.0
2901,Antipiretics,Trier,Reichel Inc ,6086119.0
3686,Antiseptics,Weil am Rhein,Reinger Group Pharma Plc,6079987.0
3483,Antiseptics,Oberursel,"Beer, Kohler and Beatty ",6061767.0
1364,Antibiotics,Sonthofen,Mante-Grady Pharma Plc,6022954.0
3555,Antiseptics,Rheda-Wiedenbrück,"Hills, Stroman and Ernser ",6018869.0
3181,Antiseptics,Euskirchen,"Reinger, Kihn and Goyette Pharma Plc",6002075.0
3277,Antiseptics,Hemer,"Johns, Mueller and Nitzsche Pharma Plc",6000462.0
3374,Antiseptics,Lauf,"Koch, Borer and Hagenes Pharmaceutical Ltd",5994729.0
3248,Antiseptics,Görlitz,D'Amore and Sons Pharm,5990182.0
2289,Antipiretics,Bad Salzungen,Graham and Sons Pharma Plc,5947825.0
847,Antibiotics,Butzbach,Mraz-Kutch Pharma Plc,5933665.0
4301,Mood Stabilizers,Reinbek,Murray PLC Pharma Plc,5932498.0
4234,Mood Stabilizers,Oberursel,"Beer, Kohler and Beatty ",5931548.0
438,Analgesics,Mörfelden-Walldorf,"Koelpin, Luettgen and Abernathy Pharmaceutical Ltd",5900495.0
335,Analgesics,Konstanz,Schmitt LLC Pharma Plc,5899698.0
3992,Mood Stabilizers,Groß-Gerau,Okuneva-Corkery Pharm,5893647.0
4264,Mood Stabilizers,Petershagen,Goldner-Tillman Pharmacy,5883203.0
644,Analgesics,Teltow,Barrows Inc Pharmacy,5876092.0
4075,Mood Stabilizers,Kehl,Corkery-Kovacek Pharm,5867719.0
212,Analgesics,Gera,Steuber Ltd Pharm,5862878.0
3777,Mood Stabilizers,Aurich,"Barrows, Zboncak and Reichert Pharm",5860257.0
138,Analgesics,Dietzenbach,Abernathy and Sons Pharmaceutical Limited,5857314.0
4489,Mood Stabilizers,Zweibrücken,Lockman-Welch Pharmaceutical Limited,5855069.0
2799,Antipiretics,Reinbek,Murray PLC Pharma Plc,5854773.0
3497,Antiseptics,Osterholz-Scharmbeck,"Haag, Bradtke and Terry ",5836563.0
3691,Antiseptics,Weiterstadt,Roob PLC Pharm,5814524.0
4207,Mood Stabilizers,Neuburg,"Casper, Hyatt and Jakubowski Pharmaceutical Ltd",5811005.0
3648,Antiseptics,Teltow,Barrows Inc Pharmacy,5799273.0
982,Antibiotics,Greven,"Kertzmann, Quitzon and Harris ",5790612.0
3041,Antiseptics,Bad Tölz,Lockman Ltd Pharma Plc,5764462.0
3628,Antiseptics,Staßfurt,McDermott Inc Pharma Plc,5751052.0
2204,Antimalarial,Wilhelmshaven,Harris-Conroy Pharmacy,5740551.0
2521,Antipiretics,Heidenheim,Hoeger Ltd ,5724349.0
2837,Antipiretics,Schmallenberg,"Steuber, Hills and Botsford Pharma Plc",5723971.0
695,Analgesics,Westerstede,Skiles-McKenzie Pharmaceutical Limited,5718303.0
3056,Antiseptics,Berlin,"Kuphal, Herzog and Purdy ",5716867.0
285,Analgesics,Hohen Neuendorf,Mraz Group Pharma Plc,5704697.0
3438,Antiseptics,Mosbach,Herman-Koss Pharmaceutical Limited,5703890.0
2210,Antimalarial,Witten,Quigley-Heathcote Pharm,5701586.0
3048,Antiseptics,Baunatal,"Buckridge, Dach and Carroll Pharmaceutical Ltd",5688278.0
2809,Antipiretics,Riesa,"Cormier, Dietrich and Zulauf Pharmacy",5672157.0
4353,Mood Stabilizers,Senftenberg,Buckridge Inc Pharmaceutical Limited,5671580.0
2016,Antimalarial,Pinneberg,Yundt-Crona Pharm,5665682.0
4310,Mood Stabilizers,Rheinfelden (Baden),Osinski-Collins ,5636026.0
3327,Antiseptics,Kempten,"Daniel, Baumbach and Nitzsche Pharmacy",5628377.5089
