ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-12-01,248834350.8129555,204156545.10845864,317437568.37277436,248834350.8129555,248834350.8129555,13040609.033068024,13040609.033068024,13040609.033068024,13040609.033068024,13040609.033068024,13040609.033068024,0.0,0.0,0.0,261874959.84602353
2018-01-01,248405807.69693214,115960136.22616892,230328498.63742667,248405807.69693214,248405807.69693214,-75474095.75432208,-75474095.75432208,-75474095.75432208,-75474095.75432208,-75474095.75432208,-75474095.75432208,0.0,0.0,0.0,172931711.94261006
2018-02-01,247976481.3006699,191056655.374269,306717397.7043404,247976481.3006699,247976481.3006699,-1424151.0947871038,-1424151.0947871038,-1424151.0947871038,-1424151.0947871038,-1424151.0947871038,-1424151.0947871038,0.0,0.0,0.0,246552330.20588282
2018-03-01,247588583.73992786,242105655.30342466,346730299.74336183,247588583.73992786,247588583.73992786,47442805.590165816,47442805.590165816,47442805.590165816,47442805.590165816,47442805.590165816,47442805.590165816,0.0,0.0,0.0,295031389.3300937
2018-04-01,247159125.72624916,148744467.48394722,264699294.42321372,247159125.72624916,247159125.72624916,-37353234.99662634,-37353234.99662634,-37353234.99662634,-37353234.99662634,-37353234.99662634,-37353234.99662634,0.0,0.0,0.0,209805890.7296228
2018-05-01,246739228.57858232,152039247.01580894,266594168.6574775,246739228.57858232,246739228.57858232,-37636599.96846763,-37636599.96846763,-37636599.96846763,-37636599.96846763,-37636599.96846763,-37636599.96846763,0.0,0.0,0.0,209102628.6101147
2018-06-01,246303777.34726587,199464582.22607404,314994752.7103599,246303777.34726587,246303777.34726587,11314802.89550606,11314802.89550606,11314802.89550606,11314802.89550606,11314802.89550606,11314802.89550606,0.0,0.0,0.0,257618580.24277192
2018-07-01,245882372.92986298,186521113.9886147,298656892.67675066,245882372.92986298,245882372.92986298,-3025776.906598713,-3025776.906598713,-3025776.906598713,-3025776.906598713,-3025776.906598713,-3025776.906598713,0.0,0.0,0.0,242856596.02326426
2018-08-01,245444499.14051506,274874043.98192155,395371026.62394935,245444499.14051506,245444499.14051506,90421878.49614178,90421878.49614178,90421878.49614178,90421878.49614178,90421878.49614178,90421878.49614178,0.0,0.0,0.0,335866377.6366568
2018-09-01,245005260.3828487,202123719.90628907,313206580.35479623,245005260.3828487,245005260.3828487,13284724.71357948,13284724.71357948,13284724.71357948,13284724.71357948,13284724.71357948,13284724.71357948,0.0,0.0,0.0,258289985.0964282
2018-10-01,244580190.61736518,191931121.54136136,306861380.3639785,244580190.61736518,244580190.61736518,3544873.900577127,3544873.900577127,3544873.900577127,3544873.900577127,3544873.900577127,3544873.900577127,0.0,0.0,0.0,248125064.5179423
2018-11-01,244136365.15328515,216788360.72371948,329850286.9539168,244136365.15328515,244136365.15328515,30757995.60882798,30757995.60882798,30757995.60882798,30757995.60882798,30757995.60882798,30757995.60882798,0.0,0.0,0.0,274894360.7621131
2018-12-01,243704491.75839898,178859944.86726168,290893027.7547637,243704491.75839898,243704491.75839898,-7736254.863606531,-7736254.863606531,-7736254.863606531,-7736254.863606531,-7736254.863606531,-7736254.863606531,0.0,0.0,0.0,235968236.89479244
2019-01-01,243258222.58368325,108980350.42099117,223354027.20365706,243258222.58368325,243258222.58368325,-79473100.24958241,-79473100.24958241,-79473100.24958241,-79473100.24958241,-79473100.24958241,-79473100.24958241,0.0,0.0,0.0,163785122.33410084
2019-02-01,242811889.59140232,180988843.6759636,295585676.330093,242811889.59140232,242811889.59140232,-3650441.8511504554,-3650441.8511504554,-3650441.8511504554,-3650441.8511504554,-3650441.8511504554,-3650441.8511504554,0.0,0.0,0.0,239161447.74025187
2019-03-01,242407977.3234042,265502098.93487605,377577195.5356794,242407977.3234042,242407977.3234042,77624009.51448464,77624009.51448464,77624009.51448464,77624009.51448464,77624009.51448464,77624009.51448464,0.0,0.0,0.0,320031986.83788884
2019-04-01,241960788.74097764,159231270.61133182,274140953.31143063,241960788.74097764,241960788.74097764,-24984561.12655882,-24984561.12655882,-24984561.12655882,-24984561.12655882,-24984561.12655882,-24984561.12655882,0.0,0.0,0.0,216976227.61441883
2019-05-01,241528025.59319025,126658289.41300996,239089900.09048328,241528025.59319025,241528025.59319025,-58799643.45567493,-58799643.45567493,-58799643.45567493,-58799643.45567493,-58799643.45567493,-58799643.45567493,0.0,0.0,0.0,182728382.1375153
2019-06-01,241080837.0033538,171095852.42120695,286923924.9052421,241080837.0033538,241080837.0033538,-10966548.804120306,-10966548.804120306,-10966548.804120306,-10966548.804120306,-10966548.804120306,-10966548.804120306,0.0,0.0,0.0,230114288.1992335
2019-07-01,240648073.85189918,142603746.79943925,256466399.8196304,240648073.85189918,240648073.85189918,-40784178.366331756,-40784178.366331756,-40784178.366331756,-40784178.366331756,-40784178.366331756,-40784178.366331756,0.0,0.0,0.0,199863895.48556742
2019-08-01,240200885.25613663,349501176.82891345,461078931.7021145,240200885.25613663,240200885.25613663,164952537.21152842,164952537.21152842,164952537.21152842,164952537.21152842,164952537.21152842,164952537.21152842,0.0,0.0,0.0,405153422.4676651
2019-09-01,239753696.65451196,191754160.7635409,305447210.1645225,239753696.65451196,239753696.65451196,8005379.698919326,8005379.698919326,8005379.698919326,8005379.698919326,8005379.698919326,8005379.698919326,0.0,0.0,0.0,247759076.35343128
2019-10-01,239320933.49164936,193811478.22542048,305850270.8612854,239320933.49164936,239320933.49164936,7708736.926045958,7708736.926045958,7708736.926045958,7708736.926045958,7708736.926045958,7708736.926045958,0.0,0.0,0.0,247029670.4176953
2019-11-01,238873744.8814324,200438750.5107423,321053145.97075635,238873744.8814324,238873744.8814324,19828419.395518456,19828419.395518456,19828419.395518456,19828419.395518456,19828419.395518456,19828419.395518456,0.0,0.0,0.0,258702164.27695087
2019-12-01,238440981.71276852,153533100.1157254,267658779.97579786,238440981.71276852,238440981.71276852,-28363186.93589634,-28363186.93589634,-28363186.93589634,-28363186.93589634,-28363186.93589634,-28363186.93589634,0.0,0.0,0.0,210077794.7768722
2020-01-01,237993793.10514915,96251734.07757634,211065157.46230552,237993793.10514915,237993793.10514915,-82899276.61666308,-82899276.61666308,-82899276.61666308,-82899276.61666308,-82899276.61666308,-82899276.61666308,0.0,0.0,0.0,155094516.48848605
2020-02-01,237546604.50058946,174167874.7805798,288162862.99769187,237546604.50058946,237546604.50058946,-5216321.955072173,-5216321.955072173,-5216321.955072173,-5216321.955072173,-5216321.955072173,-5216321.955072173,0.0,0.0,0.0,232330282.5455173
2020-03-01,237128266.77603427,170203314.93647003,283161255.1703493,237128266.77603427,237128266.77603427,-13044617.95400255,-13044617.95400255,-13044617.95400255,-13044617.95400255,-13044617.95400255,-13044617.95400255,0.0,0.0,0.0,224083648.8220317
2020-04-01,236681078.17392352,115178879.58853914,226948581.43997997,236681078.17392352,236681078.17392352,-64752692.19581869,-64752692.19581869,-64752692.19581869,-64752692.19581869,-64752692.19581869,-64752692.19581869,0.0,0.0,0.0,171928385.97810483
2020-05-01,236248315.01059052,180308451.72407362,295881790.6990206,236248315.01059052,236248315.01059052,2510357.9767615125,2510357.9767615125,2510357.9767615125,2510357.9767615125,2510357.9767615125,2510357.9767615125,0.0,0.0,0.0,238758672.98735204
2020-06-01,235801126.4084798,234501535.33915207,344911456.0309147,235801126.4084798,235801126.4084798,55657668.72612105,55657668.72612105,55657668.72612105,55657668.72612105,55657668.72612105,55657668.72612105,0.0,0.0,0.0,291458795.1346009
2020-07-01,235368363.2451468,256049970.93682444,374516383.4744712,235368363.2451468,235368363.2451468,77004677.88298073,77004677.88298073,77004677.88298073,77004677.88298073,77004677.88298073,77004677.88298073,0.0,0.0,0.0,312373041.1281276
2020-08-01,234921174.64303607,121879099.78970303,233158045.8878433,234921174.64303607,234921174.64303607,-56650073.0513769,-56650073.0513769,-56650073.0513769,-56650073.0513769,-56650073.0513769,-56650073.0513769,0.0,0.0,0.0,178271101.59165916
2020-09-01,234473986.04092532,197676039.834544,312175248.04749084,234473986.04092532,234473986.04092532,21416452.909547817,21416452.909547817,21416452.909547817,21416452.909547817,21416452.909547817,21416452.909547817,0.0,0.0,0.0,255890438.95047313
2020-10-01,234041222.87759236,169872656.1372763,284925556.8508074,234041222.87759236,234041222.87759236,-6288193.575668916,-6288193.575668916,-6288193.575668916,-6288193.575668916,-6288193.575668916,-6288193.575668916,0.0,0.0,0.0,227753029.30192345
2020-11-01,233594034.2754816,231187821.70869192,342579940.53633934,233594034.2754816,233594034.2754816,51067209.36333004,51067209.36333004,51067209.36333004,51067209.36333004,51067209.36333004,51067209.36333004,0.0,0.0,0.0,284661243.63881165
2020-12-01,233161271.11214864,206546968.08046213,323502802.7903661,233161271.11214864,233161271.11214864,33935842.613843456,33935842.613843456,33935842.613843456,33935842.613843456,33935842.613843456,33935842.613843456,0.0,0.0,0.0,267097113.72599208
2020-12-31,232728507.94881567,91186315.74612834,207754262.7551602,232728111.046647,232728827.4030779,-85741723.56447195,-85741723.56447195,-85741723.56447195,-85741723.56447195,-85741723.56447195,-85741723.56447195,0.0,0.0,0.0,146986784.38434374
2021-01-31,232281319.3467049,168533321.33068517,276832450.0278207,232279916.68413725,232282363.44000342,-6127061.278453623,-6127061.278453623,-6127061.278453623,-6127061.278453623,-6127061.278453623,-6127061.278453623,0.0,0.0,0.0,226154258.06825128
2021-02-28,231877407.06092748,316118450.32532674,429644526.8555258,231874570.87064183,231879402.86850968,137652235.05826548,137652235.05826548,137652235.05826548,137652235.05826548,137652235.05826548,137652235.05826548,0.0,0.0,0.0,369529642.11919296
2021-03-31,231430218.45881674,173204195.75508583,282964084.0337318,231425838.44680148,231433514.97168806,-2998984.1325087766,-2998984.1325087766,-2998984.1325087766,-2998984.1325087766,-2998984.1325087766,-2998984.1325087766,0.0,0.0,0.0,228431234.32630795
2021-04-30,230997455.29548377,73910299.79798043,179883545.3968099,230991518.8593834,231002105.84646565,-103150159.3624724,-103150159.3624724,-103150159.3624724,-103150159.3624724,-103150159.3624724,-103150159.3624724,0.0,0.0,0.0,127847295.93301137
2021-05-31,230550266.69337302,118717551.81338024,230390864.11020327,230542159.79816723,230556418.83666465,-55529429.28934648,-55529429.28934648,-55529429.28934648,-55529429.28934648,-55529429.28934648,-55529429.28934648,0.0,0.0,0.0,175020837.40402654
2021-06-30,230117503.53004003,60943014.7657703,176472779.77386132,230106918.95387238,230125635.80707657,-111643951.34658454,-111643951.34658454,-111643951.34658454,-111643951.34658454,-111643951.34658454,-111643951.34658454,0.0,0.0,0.0,118473552.18345548
2021-07-31,229670314.9279293,485583650.83635724,604416402.8082592,229657106.06597975,229680677.5581124,315621721.1718667,315621721.1718667,315621721.1718667,315621721.1718667,315621721.1718667,315621721.1718667,0.0,0.0,0.0,545292036.099796
2021-08-31,229223126.32581857,169276552.5121356,281379644.5587165,229207540.98838276,229235714.98492253,-5066977.324449757,-5066977.324449757,-5066977.324449757,-5066977.324449757,-5066977.324449757,-5066977.324449757,0.0,0.0,0.0,224156149.00136882
2021-09-30,228790363.16248557,188075952.43959573,301946603.8073951,228772269.91388652,228805174.03140652,14525315.92859101,14525315.92859101,14525315.92859101,14525315.92859101,14525315.92859101,14525315.92859101,0.0,0.0,0.0,243315679.09107658
2021-10-31,228343174.56037486,169671417.05116606,279200850.21726185,228322401.14784035,228360253.78431922,-3485166.139268005,-3485166.139268005,-3485166.139268005,-3485166.139268005,-3485166.139268005,-3485166.139268005,0.0,0.0,0.0,224858008.42110685
2021-11-30,227910411.39704186,104341866.80662896,215597802.98125058,227886167.23045957,227930388.18386137,-69042539.6272548,-69042539.6272548,-69042539.6272548,-69042539.6272548,-69042539.6272548,-69042539.6272548,0.0,0.0,0.0,158867871.76978707
